stage,eye,neural,olfactory,spinal.cord
 36-46,0,0,0.84,0
 48-58,2.65,0,0,0.5
 60-70,5.61,0,0,0
 72-82,0,2.6,2.2,4.36
 84-94,1.15,7.52,0,6.17
 96-106,0,0,2.13,3.68
108-118,0.92,0,0,3.19
