stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,25.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.27,0,8.92,0,0,13.09,0,0,0,0,0,0.89,0.92,0,0,26.67,0,51.52,0.99,0,14.88,45.87,0,0,4.94
 24-34,0,0,3.04,1.93,10.6,0,0,11.86,0,0,7.23,0,0,15.75,1.27,0,2.6,104.08,0.75,461.28,1,0,28.33,39.28,0,1.45,10.11
 36-46,0,0,1.46,0,4.65,0,0,0,0,3.8,0,0,0,56.62,2.31,0,0,95.71,0,276.49,0,0,12.75,25.92,0,0,7.99
 48-58,0,0,5.82,0,5.17,0,0,7.12,0,0,0,0,1.02,10.78,0.85,0.71,0,76.18,0,127.1,2.07,0,12.61,14.6,0,0,5.99
 60-70,0,0,2.34,0,4.16,0,0,6.59,0,0,0,0,3.22,2.94,7.72,0,0.57,37.5,0,131.41,8.48,0,3.18,6.83,0,0,0
 72-82,0,0,3.67,0,13.64,2.09,0,5.63,0,0,0,0,3.78,0,1.64,0,0,62.18,0,228.21,4.2,0,2.29,3.42,0,0,0
 84-94,0,3.03,1.01,0,10.35,0,0,17.76,0,0,0,2.55,5.57,0.68,6.67,0,0,38.19,0,162.1,6.72,0,17.35,4.42,0,0,0
 96-106,0,0.64,0,0,18.79,0,1.01,2.78,1.42,0.72,0,0,6.49,1.22,0.57,0,0,47.79,0,301.69,9.02,2.54,3.83,10.32,0,0,0
108-118,0,0.7,0,0,14.24,0,0,8.19,0,0,0,0.52,1.91,0,0.6,1.11,0,59.41,0,189.8,0.49,0.44,4.94,1.43,1.41,0,0
120,0,0,9.58,0,20.26,0,0,0,0,0,0,0,3.26,0,11.39,0,0,66.03,0,152.15,1.05,0,20.53,10.42,0,0,0
