stage,endocrine.pancreas,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,4.81,0,0,0,0,0
 24-34,0,1.38,1.54,0.69,0.65,3.15,0,3.53,0,0,0.61,0.72,5.88
 36-46,0,0.61,0,0,0,1.45,0,0,0,0,0,0,0
 48-58,0,0,0.89,0.62,0,0.41,0.46,2,0,0,0,0,0.83
 60-70,0,0,1.59,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.66,5.4,0,0,1.45,0,9.2,0,0,0,0,0
 84-94,0,0,1.37,0,0,1.66,0,5.44,0,0,0,0,2.19
 96-106,0,1.43,0,0,0,1.28,0,0,0.66,0.59,0,0,0
108-118,0.8,0,3.28,0,0,0,0,10.86,0,0,0,0,0
120,0,0,7.1,0,0,4.52,0,0,0,0,0,0,0
