stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,9.83,3.4,4.83,0,0,3.31,0.81,0,0,0,0,0,0,0,9.3,0,0,5.06,72.35,0,0,0.94,1.34,0,0.8,1.3,6.02,0,9.14,18.71,0,0,2.71,0,0
 24-34,0,5.53,0,12.3,0.64,0,8.85,0,0.79,0,0,0,4.72,0.86,0,20.03,2.05,0,7.08,208.39,0,0,2.41,0,0,23.75,0,0,0.76,2.12,23.01,0,0,7.67,0,0
 36-46,0,0.68,6.7,31.43,0,0.62,7.51,0.95,2.07,0,0,0,1.18,0,3.76,17.62,0,0,1.36,202.47,0,0,0,0,0,13.22,0.81,0,0,0,51.3,0,0,9.62,0,0
 48-58,0,2.12,0,55.88,0,1.26,27.69,0,0,0.8,0,0,0,0,0.78,23.28,0.63,0,4.31,153.8,0,1,0,0,0,6.41,0,0,0.47,0,31.79,0,0,3.85,0,3.17
 60-70,0,7.85,0,88.19,3.49,0.72,33.6,0.65,0,1.7,0,0.78,0.82,9.64,0,20.71,0,0.64,2.26,160.84,0,0,0,0,1.13,11.92,0,0,0,0,15.32,0,0,1.67,0,7.78
 72-82,0,10.4,0,85.13,0.49,3.72,18.81,0.85,0,1.12,6.84,0,1.71,0,0,15.67,0,3.06,0.81,106.19,0,1.83,7.45,0,0,4.62,0,0,0,0,9.14,0,0.94,4.08,1.78,0
 84-94,0.74,12.18,1.01,56.55,0.57,2.75,13.41,1.7,0,4.92,0.6,2.95,0.66,0.83,0.83,20.9,0,0.78,0.7,52.85,2.17,1.04,0,0,0,26.09,0,0,0.56,0,7.61,1.67,9.05,2.03,0,0
 96-106,0,1.47,0,44.76,0.58,3.14,7.18,0,0,3.21,0,0,1.8,0,0,18.52,6.46,0,1.25,51.78,0,5.93,4.03,0,0,6.6,0,0,0,0,1.82,0,0,6.36,0,8.85
108-118,0,1.47,5.93,50.41,1.14,2.87,24.2,2.36,0,6.59,3.2,4.99,0,0.59,3.69,22.57,0,1.16,2.7,73.39,0,0,1.67,0,0,10.36,0,0,0,0,5.16,0,0,4.81,0.91,4.15
120,0,7.67,14.01,27.95,0,12.02,30.01,2.51,0,0,0,3.01,0,0,0,39.15,0,0,6.38,74.48,0,0,4.44,0,0,1.39,0,0,0,0,0,0,0,0,7.76,0
