stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,6.78,0,0.89,0,0,0,0,0,0,0,0,0,0,2.32,0,0,0.9,32.28,0.83,0,0,2.48,3.16,0,0.81,1.88,7.08,0,0
 24-34,0,0.84,148.98,0,0,0,0,4.47,0.94,0,0,0,0,1.32,0,0,2.36,21.76,0.59,0,0,4.4,0,0,0,0,7.23,6.57,0
 36-46,2.96,1.01,239.15,0,2.46,1.57,0,0,0,0,0,0,0,2.67,0,0,0,44.47,0,0,0,4.62,0,0.67,0,0,4.97,5.85,0
 48-58,0,0,148.4,0,0,4.3,0,0,0,0,0,0,0,3.31,0,0,0.38,26,0,1.14,0,1.64,0,0,0,0,6.36,0,0
 60-70,0,0,174.67,1.07,0,13.6,0.58,4.26,0.92,0,1.35,0,0.88,0,0,0,6.02,15.64,0,0,0,0,0,0.6,0,0,0,0,0.79
 72-82,0,0,130.49,0,0,2.08,0,0,0,0,0,0,0,11.03,0.74,0,0.51,5.52,0,0,6.47,1.02,0,0,0,0,3.07,0.96,0
 84-94,0,0.74,90.72,0,0,4.07,0,0,0,0.73,0,0,0,6.66,0,1.4,0,0,0,0.71,0,1.26,0,0.7,0,0,0,0,0
 96-106,1.35,0,49.57,0,0,4.66,1.06,0,0,0,0,0,0,4.34,3.74,0,0,11.84,0,0,0,2.46,0,0.61,0,0,0,0,0
108-118,3.39,0,73.53,0,0,6.49,0,1.15,0,0.56,0,0.55,0,2.69,0,0,0,11.11,0,0,0.42,0,0,0,0,0,7.84,0,0
120,0,0,61.27,0,0,3.86,1.26,0,0,0,0,0,0,0,1.05,0,0,45.83,0,0,0,0,0,0,0,0,0,0,0
