stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.59,119.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.91,129.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.17,0,0,0,0,59.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.76,89.75,0,0,121.19,0,4.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,90.31,0,19.19,0,0,117.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1457.14,28.2,0,0,187.27,0,0,5.55,0,20.91,0,22.53,0,0,0,0,0,0
 14-21,0,0,0,2.01,13.13,7.57,181.64,0,0,0,3.81,1.67,1.66,0,1.26,1.45,0,0,9.86,21.12,0,0,19.94,954.51,2.49,11.83,5.95,4.41,0,1.29,0,12.04,0.85,29.97,128.16,317.33,0,0,17.46,0,3.8
 24-34,0,0,0,0.59,7.57,2.07,402,0,0,0,9.46,0,10.05,0,1.8,1.66,2.47,0,57.18,72.64,0,0,17.7,2235.3,3.31,19.56,2.92,0,0,18.27,0,0,0.8,1.9,18.91,358.67,0,0,133.29,0,10.06
 36-46,0,0,0,0,6.3,0,902.61,0,5.83,0.85,71.77,0,5.48,1.27,0,35.34,0,1.69,38.01,99.06,1.26,0.57,28.72,4772.27,1.6,30.39,2.94,0,4.12,24.32,0,0,0,0,0.8,843.86,0,0.85,90.86,0,3.11
 48-58,0,0,0,0,19.3,6.49,1096.21,2.09,1.46,1.48,120.05,0,5.57,2.72,0,7.92,0.85,3.77,20.4,80.22,0,20.03,18.92,3906.11,0.39,20.22,6.6,0,0.4,10.59,0,0,0,0.73,0,1008.69,0,0.42,131.11,0,21.73
 60-70,0,0,0,0,9.26,3.87,1205.66,11.79,0,9.68,144.97,0,5.86,2.21,0,8.61,0,0,1.93,109.94,0.85,0,14.52,2165.07,0,4.25,4.29,0,0.66,16.84,0,0,6.24,0,0,801.15,0,0,40.79,0,17.64
 72-82,0,0,0,0,9.44,0.5,716.46,4.92,0,2.56,88.05,2.39,2.94,0,0.55,9.95,3.02,1.65,3.23,112.67,0,11.32,15.31,1343.1,0,14.12,4.28,0,0,3.47,1.65,0,0,0,0,166.27,0.95,0,108.97,7.33,3.8
 84-94,0,0,1.05,0,7.65,0,466.45,7.6,0,0,96.99,1.33,3.23,2.73,0.92,0,0.81,0,20.35,82.73,0,6.59,16.06,679.05,1.37,13.71,5.72,0,0,6.15,0,0,2.8,0.69,0,131.95,2.04,0.71,94.24,0,0
 96-106,0,0,7.54,0,8.7,16.5,387.83,8.27,0.57,1.6,65.97,1.68,6.85,0,0.85,5.8,2.38,0,1.03,117.12,0,3.4,17.5,673.88,0.71,2.51,2.99,0,4.67,2.33,0,0,0,0.66,0,34.79,0,0,88.83,2.2,0
108-118,0,0,1.42,0,12.02,3.55,422.47,6.67,0,1.89,82.3,5.37,0,1.49,0.82,5.06,0,0,6.68,116.07,1.92,5.4,34.81,911.02,0,9.5,0.72,0,0,1.21,0,0,0,0.43,0,26.38,3.42,4.74,57.71,2.86,0.97
120,0,0,0,0,18.13,1.32,382.28,1.18,1.12,6.63,101.43,1.31,7.58,0,0,6.79,0,3.29,2.87,103.58,1.49,2.76,14.43,1135.86,0,1.11,8.82,0,0,13.59,0,1.12,0,0,0,50.66,0,3.03,141.98,0,0
