stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,131.97,5571.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.64,0,0,0,0,0,0,0,0,0
  5-6,155.96,4183.62,17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.66,16.8,0,0,19.47,0,102.3,0,0,0,0,0,0,0,0,0
  7-9,54.11,139.15,165.49,0,0,246.89,0,0,0,0,52.25,0,0,0,0,0,0,0,0,0,0,0,2490.89,54.58,0,0,907.94,0,0,48.08,0,0,0,0,0,0,0,0
 10-12,0,82.92,81.05,0,20.74,156.31,0,0,0,0,26.82,0,0,0,0,0,0,0,0,0,0,0,2317.29,18.9,0,0,799.66,0,0,11.27,0,77.89,5.05,18.22,0,0,0,0
 14-21,0,0,1.06,39.91,11.97,34.28,0,0,13.51,1.83,0,0,0,2.15,0,0,1.15,0,31.36,0,0,41.01,727.28,3.73,5.66,1.92,14.56,0,19.5,0,57.06,1.28,22.69,207.64,0,0,0,0
 24-34,0,0.83,2.98,21.77,1.4,196.48,0,0,25.51,4.91,0,0.62,2.22,0.72,1.05,0.63,3.16,0,118.06,0,0.69,32.69,1514.75,1.36,6.55,8.7,0,0,63.65,0,0,3.48,4.27,300.54,0,16.77,0,1.99
 36-46,0,0,0.87,13.1,5.98,311.6,15.62,0,23.88,4.14,0,10.2,3.26,0.79,0,0,0,0,80.06,0,2.4,27.12,857.86,0.64,5.83,2.86,0,2.85,20.93,0,2.6,0,0,178.55,0,7.66,0,9.59
 48-58,0,0,1.75,21.7,0.38,412.65,0.85,1.32,26.98,0,0,3.12,4.8,0,3.3,0,0,4.96,86.04,0,3.12,27.11,421.61,3.68,0,1.29,0,0,8.27,0,0,0,0,63.61,0,3.94,0,8.27
 60-70,0,0,0,16.84,0.94,326.14,0,1.21,26.71,2.49,0,2.38,1.9,0,5.9,0,1.41,0,83.33,1.43,23.1,6.4,196.9,2.09,1.22,7.07,0,0,1.13,0,0,5.07,0,12.15,0,18.32,0,0
 72-82,0,0,0,16.36,1.64,85.17,0,0,33.72,0,0,1.7,2.32,0,0.93,0,4.89,0,75.46,0,0.99,4.85,152.88,0,1.87,0,0,0,1.03,0,0,4.78,0,3.03,0,11.18,0,0
 84-94,0,0,0,8.65,4.01,96.27,0,0,17.23,1.78,0,1.45,1.76,1.89,0.66,0.96,1.65,0,52.37,0,4.14,5.21,138.29,2.74,0,0.81,0,0,3.56,0,0,0,0,1.05,2.55,8.31,0,0
 96-106,0,0,0,8.05,1.13,51.65,0.9,0.71,20.63,1.45,0,2.22,2.69,0,0.66,0,0,0,21.95,0,1.88,9.07,95.65,2.67,0.57,0,0,0,20.65,0,0,1.88,0,4.05,1.17,5,0.69,0
108-118,0,0,0,5.14,4.33,62.88,0,0,25.6,3.12,0,2.49,9.34,0,1.78,0.6,4.33,0.66,39.53,0,1.08,5.05,131.28,4.2,0.54,3.01,0,0,6.69,0,0,0,0,0,0.91,7.96,0.68,0
120,0,0,0,4.94,10.86,65.96,1.42,0,69.03,1,0,1.54,15.23,1.36,0,0,0,0,46.96,0,0,7.84,228.68,0,0,0,0,0,5.99,0,0,0,0,10.32,0,5.97,5.15,0
