stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,116.51,1279.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.44,0,0,0,0,0,0,0,0
  5-6,52.62,483.77,0,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,21.24,0,0,0,0,0,0,0,0
  7-9,16.23,3.21,0,11.22,0,0,0,18.31,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0,162.78,6.3,0,0,68.22,5.76,0,0,0,0,0,0,0,0
 10-12,0,3.5,0,10.39,0,0,0,16.57,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,320.67,9.5,0,0,66.87,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0.93,132.21,0,4.61,0,0,0,0,0,1.35,1.13,0,0,0,0,0,0,1.7,0,0,1.46,56.94,3.39,0,4.58,0,0,1.25,0,0,1.66,8.85,0,0,0
 24-34,0,0,1.7,0,1.93,229.8,0,7.86,0,0,0,1.18,0.82,0,0,0,0,0.63,0,0,0,6.25,0,0,1.76,78.1,0,0.62,0.67,0,1.84,0,1.8,0,2.19,13.07,0,2.32,0
 36-46,0,0,0,0,0,65.79,0,5.21,0,1.12,0,1.46,0,0,1.59,0,0,0,0,0,0,3.44,0,0,0,33.9,0,1.3,0,0,1.27,0,2.21,0,0,14.35,0,1.04,0
 48-58,0,0,0.4,0,0,68.92,0,18.76,0,0,0.95,5.49,0,0,0,0,0,0,0.91,0,0.6,7.49,0,0,1.95,31.9,0,2.26,0.78,0,3.5,0,0.43,0,0,19.4,0,0.39,0.4
 60-70,0,0,0,0,6.42,30.06,0,29.81,0,0,0,16.74,2.72,0,0,0,0,0,3.85,0,0,21.6,0,0,0,33.98,0,0,0.83,0,3.6,0,2.41,1.57,0,4.98,0,1.99,2.76
 72-82,0,0,0,0,0,11.07,0,20.23,0,0,0,11.7,0,0,0.74,0,0,0,0.95,0,0,7.64,0,0,0,19.41,0,1.51,2.8,0,0,0,0,0,0,1.62,0,0,0
 84-94,0,0,2.24,0,1.56,29.58,0,21.66,0,0,0,6.24,0,0,0,1.37,0,0,0,2.25,0,16.65,0,0.55,5.13,21.03,0,0,2.06,0,3.87,0,0,0,0,0,4.1,0,0
 96-106,0,0,1.04,0,3.68,17.13,0.72,29.72,0,0,0,5.77,0.66,0,0,0,1.18,0.74,0,0,0,8.34,1.61,0,4.01,13.17,0,1.95,0,0,6.57,0,0,0,0,0,0,1.56,0
108-118,0,0,0,0,0.48,29.28,3.52,7.39,1.02,0,0.48,4.32,1.98,0,0,0.62,0,0,0,0.43,4,15.4,0,0.97,2.02,19.66,0,3.88,4.72,0,3.54,0,0,0,0,0,0.48,0,0
120,2.37,0,0,0,6.09,18.45,2.59,20.53,0,0,0,6.01,2.39,0,0,0,2.58,0,0,0,0,1.35,0,0,0,10.2,0,21.98,1.29,0,10.01,0,0,0,0,0,2.25,0,0
