stage,epidermis,gut,immune
 24-34,0,0,3.68
 36-46,0,0,3.31
 48-58,0,0,1.02
 60-70,0,0,4.75
 72-82,4.39,0,2.97
 84-94,0,0,0.78
 96-106,0,0,10.66
108-118,0,0.57,3.38
120,0,0,7.39
