stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle
 14-21,0.83,8.68,0,0,0,0,0,0,0,0,0,26.32,0,0.99,0.98,35.96,0,0
 24-34,0,0,1.81,0,0,1.71,0,0,20.26,0,0.63,143.04,1.41,0,0.74,117.82,0,0
 36-46,0,0,0,0,0,4.39,0,0,95.63,0,0,107.22,0.56,0,0,126.3,0,0
 48-58,0,0,20.68,0,0,9.11,2.29,0,168.99,0,0,58.09,1.44,0,0,47.37,0,0
 60-70,0,1.32,1.68,0,0,2.36,2.26,0.84,274.89,0,3.36,21.68,0,0,0,21.52,0,0
 72-82,0,0.49,7.71,0,0,9.26,6.83,0.61,271.29,0,0,11.78,0.55,0,0,1.81,1.28,0
 84-94,0,0,3.25,0,0.79,2.87,6.99,0,309.19,0,0,26.25,0,0,0,13.78,0,0.9
 96-106,0,0.56,8.28,1.45,0,2.5,10.6,0,162.58,1.76,0,20.17,0,0,0,7.29,2.96,0
108-118,0,0.76,13.85,0,0,9.24,25.61,0,183.86,0,0,17.45,0,0,0,6.52,1.2,0
120,0,0,0,0,0,3.44,15.8,0,136.77,0,0,19.13,0,0,0,6.53,0,0
