stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.28,0.92,0.87,0,0,0,0,0,0,0,73.23,0,22.54,2.44,0.83,0,0,0,2.52,1.34,0,0,0,0,0
 24-34,0,6.33,0.71,4.4,0.71,0,0,0,0.72,0,0,54.35,0,7.46,5.53,0,0,0,0,2.29,0.95,0,0,0,0,0
 36-46,0,0,0,6.5,7,0,0,0,0,0,0,58.54,0,10.39,2.13,0,0,1.47,0,0,0,0,0,0,0,0
 48-58,0,1.09,1.02,2.07,16.21,0,0,0,0.49,0,0,73.32,0,15.97,4.83,0.99,0,4.57,0,0,0,0,0,0,0,0.63
 60-70,0,2.87,3.44,6.96,6.14,0.98,0,0,1.34,0,0,193.36,0,10.8,3.48,0,0,4.73,0,0,0,0,9.13,0,0,0
 72-82,0,1.5,12.82,2.07,18.48,2.64,0,0,1.02,0,0,224.65,0.81,7.24,6.12,0,1.41,13.59,0,0,0,0,24.6,1.22,0.59,0
 84-94,0,3.11,17.49,4.48,23.18,5.58,0,0,4.85,0.69,0,271.42,0,2.58,10.09,0,0,6.33,0,0,0,0,14.44,0,2.11,0
 96-106,0,6.05,30.05,0.57,8.47,8.59,0,3.26,6.78,1.8,0,266.51,2.48,1.08,3.39,0,0,11.52,0.6,0,0,1.68,29.3,0.8,0,0
108-118,0,10.4,15.05,7.78,9.07,2.04,0,1.42,54.49,0.9,0.91,228.36,0,2.06,22.8,0,0,22.9,0.43,0,0,0,58.86,0,0.99,0
120,0,8.46,12.37,9.03,26.37,0,1.14,0,4.73,0,0,143.82,20.51,0,37.36,0,0,14.06,0,0,0,0,21.02,0,0,0
