stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,heart,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1.12,0,0,0,0,0,0,0,0,0,0,3.72,9.05,0,1.56,0.84,0.83,1.43,1.76,0,0,0,0
 24-34,0,0,0,0,0.8,0,0,0,0,0,2.92,0,0.63,47.25,0,0,0.72,0,0.68,1.64,0,0,0.85,0
 36-46,0,0,1.54,2.07,0,1.67,0,0,0,0,0.83,0,0,39.41,0,0,8.84,0,0,4.52,0,0,0,0
 48-58,0,0.38,7.83,1.25,0.46,9.09,0,0,0,0.54,1.49,0,0.38,44.17,0,0,0,0,0,5.77,0,0,11.59,0
 60-70,0,0,18.71,0,0,18.54,0,0,0,0,0.71,0,0.63,102.94,2.15,0,2.82,0,0,6.67,0,0,0,0
 72-82,0.87,0,28.85,0,0,0.78,0,0,0,0,15.01,2.62,0,49.29,1.27,0,0,0,0,0,0,0.63,0,0
 84-94,0,0,8.57,0,0,2.24,0,1.62,0,5.92,5.08,0,0.72,41.14,1.44,0,0,0,0,3.86,0.62,0,0,0
 96-106,0,2.31,2.73,5.83,1.83,0,0,0,1.05,0,10.29,0,1.35,1.46,0,0,0,0,0,0,0,0,0.79,0
108-118,0,2.59,0.49,0,0,3.28,0.74,0.7,0,0.53,10.57,2.51,0,16.5,0.86,0,1.66,0,0,0,0,0,0,1.26
120,0,1.47,0,0,0,8.35,0,0,0,0,18.15,0,1.99,28.34,0,0,1.68,0,0,3.29,0,0,0,0
