stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,457.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.07,0,0,0,0,0,0,0,0,0
  5-6,14.44,375.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.48,0,0,0,0,0,0,0,0,0
  7-9,7.06,0,0,10.29,0,0,0,9.38,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,161.13,0,0,0,29.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.29,0,0,0,26.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.99,0,0,1.7,0,0,0,1.08,0,0,0,0,0,0.87,0,0,0,0,0,0,0,28.69,1.82,0,0.91,0,0,0,0,0,0,22.97,0,0,0,0,0
 24-34,0,0,0,0,12.9,0,0,31.63,0,0.95,0,1.64,0,0,0,0,0,0,2.76,0,0,3.18,0,0,0,155.5,0,1.32,26.5,0,0,5.68,0,0,0,186.39,0,0,0.82,0,0
 36-46,0,0,0,0,8.45,0,0,386.77,0,0,0,1.56,0,0.76,0,0,9.04,0,3.67,0,1.14,3.84,0,0,1.89,865.94,0,2.6,17.84,0,0,16.11,0,0,0,645.05,0,0,0,0,0
 48-58,0,0,0,0,42.72,0.42,0,3951.44,5.78,16.4,1.78,61.7,0,0.75,1.03,0,0,34.94,4.1,0,5.75,22.72,0,6.07,4.79,1489.16,0.49,1.16,11.86,0,0.56,35.13,0,6.15,0.5,522.87,0,0,3.43,0,2.51
 60-70,0,0,0,0,40.81,8.08,0,13639.88,4.25,13.82,1.64,113.33,0.67,9.59,0,5.83,0.69,10.07,2.05,0,0,90.42,2.86,0.99,1.71,2193.06,0,2.41,67.01,0,0,22.08,0,5.79,0,700.95,0,1.35,4.53,0.81,4.67
 72-82,0,0,3.42,0,67.18,6.55,0,16013.31,0,8.86,11.96,263.42,2.73,0,0.81,12.19,3.01,13.98,7.2,9.49,0,162.73,0,3.94,8.57,2584.34,6.81,5.19,50.53,1.13,4.27,19.74,0,1.37,0,661.06,6.07,3.16,28.58,6.33,33.97
 84-94,0,0,0,0,113.33,32.98,0,9243.47,2.94,9.98,4.56,286.92,4.35,0,0,5.27,1.25,13.28,15.27,1.01,0.56,170.15,1.14,9.43,20.11,1863.73,1.25,14.35,30.86,0,0,43.96,0,0.73,0,376.02,17.96,10.16,28.1,13.52,3.41
 96-106,0,0,2.28,0,100.41,51.18,3.02,10209.33,1.32,6.9,12.06,259.12,4.29,0,4.1,10.56,6.67,2.41,18.06,60.64,4.28,138.46,5.44,3.79,1.25,2064.15,4.22,6.93,60.14,0,1.51,30.32,0,2.38,1.42,323.44,23.92,4.91,9.42,9.65,37.01
108-118,0,0,0,0,108.22,13.61,8.71,9621.66,3.42,3.25,12.04,233.03,1.47,2.74,0,14.64,4.51,1.43,10.5,11.35,4.49,180.08,7.04,26.23,18.38,2407.19,1.61,2.48,76.49,0,0,40.59,0,0.84,0.86,175.27,34.35,1.57,12.14,13.7,11.82
120,0,0,0,0,110.85,1.53,0,8560.71,4.53,47.22,22.8,537.51,3.29,0,6.64,1.06,6.03,34.91,4.52,0,0,162.73,0,10.79,35.8,3602.74,9.36,25,84.63,0,0,59.51,1.53,0,0,624.6,29.3,0,24.14,0,8.94
