stage,blastomeres,epidermis,eye,hatching.gland,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,11.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.95,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.02,0,0,9.95,3.41,0,0,0,0
 10-12,7.49,0,0,0,0,0,3.82,0,0,0,0,0
 14-21,0,2.12,1.36,0,1.1,0,0,0,0,2.18,0.93,0.85
 24-34,0,0,0,0,0.72,0,5.32,0,0,0,0.67,2.74
 36-46,0,0,0,0,0,0,1.92,0,0,0,0,0
 72-82,0,0,0,0,1.68,0,0,0,2.64,0,0,0
 96-106,0,0,0.9,0,4.47,0,1.24,0,0,0,0,0
108-118,0,0,0,0,0,0.61,0,0,0,0,0,0
