stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.04,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.11,0,0,0,0,2.04,0,0,0,0,0,0,0,1.57,0,0,0,12.27,0,0,0,0,0,0.9,3.62,2.68,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,2.94,0.79,0,0,39.52,0,0.77,0,7.48,0,0,0.8,2.6,5.58,0
 36-46,0,0,0,0,3.82,0,0,0,0,1.2,2.12,0,1.36,0,0,1.07,0,0,0,27.91,0,0,0,8.92,0,0,0,16.22,2.97,0
 48-58,0,0,1.08,0,8.28,0.55,0.94,0,0,0.5,0.58,0,0,0,0,4.43,0.49,0,0,18.14,0,0,0,1.46,0,0,0,7.85,4.55,3.78
 60-70,0,0,3.5,0,11.36,0,0,0,0.72,0,0.62,0,0,0,0,10.57,0,0,0,32.35,0,3.01,0,3.66,0,0,0,3.33,1.5,0
 72-82,0,0,0,0.74,7.9,0,0,2.78,0.52,0,2.54,0,0,0,0,7.82,4.17,0,0.56,20.92,0,8.95,0.56,5.55,0,0,0,5.21,13.22,0
 84-94,0,0,2.47,4.37,5.93,0.59,1.27,1.03,0.86,2.32,2.91,0,0,6.41,0,9.57,0,0,0,23.7,0,3.61,0,14.77,0,0,0,1.92,1.74,2.4
 96-106,0,0,1.57,0,10.29,0,0,5.24,0,1.75,4.9,0,0,0,2.22,1.09,2.71,1.59,0.79,12.16,0,2.32,0.77,7.52,0,0,0,0,7.49,0
108-118,0,1.57,2.19,0.78,8.95,0.43,0,0.77,2.15,2.64,3.53,0.49,0,0,1.11,7.69,0,0,0,19.98,0.54,4.91,0,6.48,0.42,0,0,0,8.1,4
120,0,0,10.91,0,38.46,0,0,7.19,0,0,0,0,3.12,0,0,1.92,0,0,0,40.66,2.45,19.03,1.34,3.67,0,0,0,0,4.77,3.14
