stage,axial,blastomeres,erythrocytes,eye,glial,immune,neural,olfactory,paraxial_mesoderm,pronephros,somites,vasculature
  3-4,32.79,352.64,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,220,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.9,0,0,18.24,0,29.09,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.83,0
 24-34,0,0,0,0,0,1.13,0.96,1.44,0,0.98,0,0
 36-46,0,0,0,0,0,0,1.33,0,0,0,0,0
 48-58,0,0,0,0,1.74,0,0,0,0,0.44,0,0
 60-70,0,0,0,15.57,0,2.84,1.16,0,0,0,0,1.02
 72-82,0,0,0.53,0,0,23.65,0,0,0,0,0,2.49
 84-94,0,0,8.44,0,0,30.18,0,0,0,0,0,1.02
 96-106,0,0,0,0,0,32.38,4.36,0,0,0,0,1.97
108-118,0,0,1.46,0,0,44.9,0,0,0,0,0,2.2
120,0,0,0,0,0,65.24,3.45,0,0,0,0,1.9
