stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial.mesoderm,pgc
  3-4,0,99.05,0,0,0,0,0,0
  5-6,12.91,183.87,0,0,0,0,0,0
  7-9,6.13,0,9.38,4.21,91.11,4.1,11.15,0
 10-12,0,0,12.07,11.16,25.65,4.28,0,5.62
