stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,31.13,538.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.79,0,0,0,0,0,0,0,0
  5-6,0,169.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,9.41,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.69,0,10.24,0,0,0,23.8,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,0,0,146.44,6.91,0,0,38.14,0,9.09,0,0,0,0,0,0,0,0
 10-12,0,10.71,0,0,0,0,0,19.01,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,364.06,35.89,0,0,87.32,0,4.24,0,22.65,5.78,0,0,0,0,0
 14-21,0,0,0,0.9,12.98,0,0,0.82,0,1.17,0,1.6,1.79,1.35,0.89,0,5.61,0,0,0.86,0,8.2,0,0,3.98,73.97,0,0,1.1,2.13,0,2.05,4.8,2.93,11.95,38.4,0,1.88,0,0
 24-34,0,0,0,1.2,0.91,0,0,8.85,0,2.42,0,6.21,0,0,1.04,2.33,2.13,0.89,0.74,3.51,3.13,7.44,0.68,0,8.85,146.36,0.65,0,0,0,0,15.55,0,1.4,2.78,38.91,0,5.51,0,11.65
 36-46,0,0,0,0,2.1,0.95,0,21.53,0,1.85,2.22,7.1,0,0,0.79,20.52,2.47,0.71,0,1.46,5.73,11.24,1.07,0.6,5.31,211.28,0,1.4,1.7,0,0,12.29,0.86,3.15,0,74.75,0,2.54,0,21.28
 48-58,0,0,0.4,0,0.64,0.8,0,44.83,2.34,0,0.91,29.53,0,0,0,2.44,0,6.03,1.82,0,0.9,10.62,2.92,0,2.96,145.72,0,1.81,0.51,0,0.4,19.05,0,0,0,46.64,0,6.45,0.5,5.42
 60-70,0,0,0.65,0,2.39,0,0,111.82,0,9.19,0.91,30.32,0.65,1.71,0.77,12.64,0,0.6,0,1.2,0,27.73,1.1,0,3.96,178.95,0,2,0,0,0,23.78,0,1.38,0,25.7,0.61,2.88,0,0
 72-82,0,0,1.19,0,3.7,5.59,0,73.83,0.53,0,4.33,30.83,0,0,0,12.78,1.92,0.64,0,0,0,30.58,1.92,0.81,7.79,82.34,0,6.8,1.07,0,0,22.42,0,0,0,15.76,1.08,6.9,0.9,1.18
 84-94,0,0,0,0,8.6,1.95,0,57.64,0,0,2.98,19.4,2.81,0,0,11.2,0,6.58,0,0,0,15.77,4.94,2.28,0,97.94,0.71,0,0.91,0,0,49.43,0,0.67,0,7.18,3.34,2.05,4.7,0
 96-106,0,0,0,0,6.2,6.86,0,47,0,0.81,0,35.89,0.71,0,1.6,11.71,2.94,0.59,0,0,6.77,24.53,2.07,0,2.18,68.69,0.81,0,3.73,0,0,40.43,0,0,0,3.12,0,4.74,0,0
108-118,0,0,0,0,5.38,3.97,1.13,38.59,0,1.04,0.84,23.04,7.39,0,0.99,11.4,1.06,7.46,0,3.51,0,18.06,7.54,0,2,79.22,0,0,0,0,0,45.52,0,0,0,8.21,0.54,3.33,0,0
120,0,0,0,0,13.87,2.55,0,32.77,0,0,9.22,16.83,2.45,0,0,20.09,0,1.91,0,0,0,12.08,3.49,0,7.8,58.26,0,10.86,1.05,0,0,23.67,0,0,0,0,6.52,1.14,0,0
