stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,38.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,23.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.89,0,0.82,0,0,0,2.47,0,0,0,0,0,0,0,27.27,0,0,0,0,0,0,1.97,0,0,1.09,0.95,0,0,0
 24-34,0,0,2.16,0,3.28,0,2.04,0,3.35,0,0,0,0,0,3.98,0,40.94,0,3.5,2.33,0,0,0,0,2.17,0,0,7.94,0,0.8,0
 36-46,0,0,0,0,7.29,0,3.37,0,0,0.56,0,0,0,0,8.19,0,78.1,0,0,0.77,0,11,0.81,0,4.09,0,0,12.22,0,1.14,0
 48-58,0,0,0,0,14.28,0,0,0,2.16,0,5.33,0,0,0,13.7,0.47,170.56,0,0,2.23,0,0,0,0,0.46,1.45,0,20.06,0,0.65,0.48
 60-70,0,0,0.57,0,48.33,0.64,0.63,1.97,6.29,0,0,0.6,0.77,0,14.88,0,182.19,0.66,1.43,9.91,0,0,0,0,0.68,6.46,0,24.25,0,1.83,0
 72-82,0,0,0.84,0,124.04,0,0,0.56,6.17,1.99,0,0,0,0.96,28.03,0,271.6,0,1.98,4.1,0,0.68,0,0,1.58,2.87,0,33.77,0,5.85,0
 84-94,0,0,2.9,0,122.39,0,1.68,0.89,6.69,0,0.55,0,0.83,1.49,22.72,0,200.46,0,1.26,14.6,0,1.27,0,0,0.56,5.42,0,16.48,0,0,0
 96-106,0,0,1.39,1.86,147.7,0,1.01,1.66,11.51,0,0,0,0.97,0,26.09,3.9,165.07,0,0,3.74,0,6.05,0,0,0,0,0,16.66,0,0,11.06
108-118,0,2.16,8.19,0,200.22,0.69,1.96,1.05,15.6,0,0,3.25,0,0,31.83,0.68,251.65,0,7.59,11.65,0,1.29,0,0,0.9,0.46,0,3.76,0.9,0,0
120,0,0,5.41,0,244.68,0,0,0,2.99,0,0,0,2.11,0,46.32,0,342.41,0,0,34.26,0,0,0,0,0,0,0,9.81,0,0,0
