stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,1.72,0,0,0,1.03,0,0,0,0,0,28.53,8.07,0.89,0,0
 24-34,0,0,0,4.12,0.75,0,0,0,0,1.74,0,7.51,15.71,4.19,0,1.67,0,0,1.39,35.39,13.09,2.07,0,0
 36-46,0,0,0.72,30.97,0,0,0,0,0.77,0.56,0,3.18,20.83,3.54,0,0,0,0,0,31.39,0.6,0,0,0
 48-58,0,0,1.33,5.73,0,0,0,0.51,0,0,0,4.11,7.16,0.55,0,0,0,0,0,18.29,0,4.74,1.5,0
 60-70,0,0,4.46,7.28,0,0,0,0,0,2.35,0,5.03,4.44,1.36,0,0,0.81,0,0.58,9.39,0,0,3.19,0
 72-82,0.97,4.13,0.85,7.29,0,0.84,0,0,1.15,0.93,0,2.25,3.11,0.57,1.28,0,1.13,0,0,8.7,0,0,0,0
 84-94,0,0,0,12,0,2.57,0,1.81,0,0,0,1.7,0,0,0,0,0,0.85,0,10.08,0,2,0,0
 96-106,0,6.45,2.23,3.92,0,5.75,0,0,0,5.91,0,3.66,8.22,0,0.73,0,2.41,0,0,15.16,0,0,0,1.28
108-118,0.56,9.91,7.46,15.59,0,7.78,1.55,0,0,7.01,6.45,11.73,19.68,0.51,0,0,0,0,0,8.67,0,0,0,0
120,0,0,3.85,19.2,0,0,0,0,0,0,0,1.25,8.89,0,0,0,0,0,0,11.92,0,0,0,0
