stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,12.63,167.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.81,0,0,0,0,0
  5-6,14.93,407.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,64.11,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.43,0,9.96,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.18,0,0,0,13.48,0,0,0,0
 14-21,0,0,0,2.57,0.82,0,0,0,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0,0,2.87,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,4.22,0,0,0,0,0,2.2,2.04,0
 36-46,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0,0,2.94,1.82,0,0,0,1.04,0,0,0
 48-58,0,0,0,0,1.77,0,0,0,0,0.41,0,0,0,0,0,0,2.88,0,0,0,0,0,0,2.11,0
 60-70,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
 72-82,0,0,69.45,0,2.88,0,0,6.76,0,0,0,0,0,0,1.79,0,12.91,0,0,0,0,0,0,2.32,0
 84-94,0,0,12.95,0,0,0,0,0.7,0,0,0,0.82,0,0,1.19,0.85,7.82,0,0,0,0,0,0,0,0
 96-106,0,0,84.22,0,4.09,0,0.86,0,7.11,0,0.91,1.28,1.99,0,0,0,7.72,1.42,0,0.91,0,0,0,0,0
108-118,0,0,137.76,0,13.38,0,0.44,3.76,12.14,0,0,4.21,1.1,0,1.03,2.12,11.59,0,0,2.64,0,0,0,0,0.64
120,0,0,218.19,0,4.44,0,3.36,0,29.55,0,0,0,0,9.24,0,0,15.5,0,0,10.07,0,0,0,0,0
