stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,216.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.59,0,0,0,0,0,0,0,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,0,4.09,11.03,0,0,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.63,0,0,0,0,40.31,0,0,0,0,0,0,0,0,0,0,0,25.23,13.83,0,0,47.44,0,0,4.37,0,10.47,0,0,0,0,0,0,0,0
 14-21,0,0,3.16,11.09,1.11,0,0.99,0,0,0,4.59,11.36,0,0,0,0,0,0,0,6.53,0.95,0,2.55,65.04,1.25,1.44,0,0.8,0,0,0,5.79,0.91,4.37,0.9,52.65,0,0,0,0,0
 24-34,0,4.17,0,5.22,0,0,10.44,0,0,0.7,0,0,0,0,0.61,0,0,0.68,1.47,21.29,2.95,0,3.02,346.59,0,17.46,1.37,0,0,0,0,0,0.65,0,0.62,105.31,0,0,0.77,0,0
 36-46,0,2.29,0.63,11.76,0,0,27.43,0,0,10.93,0,0,0,0,0,0,0,7.28,0,16.12,4.98,0,1.23,599.23,0,15.9,0,0,0,0.58,0,0,0,0,0,126.41,0,0.85,0,0,0
 48-58,0,1.95,0,1.69,0,0,119.85,0.85,0.43,12.62,0,13.29,0.66,0,3.51,0,0.98,0,2.93,33.88,3.62,0,3.35,680.72,0,11.74,0.39,0,0,0.82,0,0,0,0,0,126.5,0,0,1.97,0,0
 60-70,0,0,0,2.76,0,0,318.11,0,0,19.72,0.83,5.76,0,0,0,0.6,0,8.2,0,35.62,2.07,0,5.85,756.41,0,10.82,2.73,0,0,1.23,0,0,0,0,0,114.09,0.81,2.85,0,1.13,0
 72-82,0,2.19,0,4.44,0.53,0,422.63,0,1.49,48.58,10.98,1.11,1.16,0,1.16,0,0,1.52,0,65.1,4.74,2.49,3.85,715.14,0,23.92,6.22,0,0,1.08,0,0,0,0,0,86.51,2.74,1.9,1.24,1.45,0
 84-94,0,3.97,0.6,1.89,4.99,0.95,261.3,0,0,27.82,12.94,5.14,0,0,0,0.73,0.78,3.88,0,47.98,4.79,0,1.23,468.55,0,7,4.18,0,0,2.24,0,0,1.29,0,0,61.4,3.48,4.34,1.16,1.44,0.74
 96-106,0,3.28,0,8.52,0,5.52,224.56,0,1.02,43.48,24.74,0,0.58,0.64,0.63,0.63,1.11,13.78,0,54.6,6.08,1.41,3.36,449.4,0,22.61,2.98,0,1.03,4.63,0,0,0,0,0,23.57,5.16,1.87,2.08,1.26,5.1
108-118,0,4.81,0.49,6.59,0,28.73,258.09,0,1.7,30.39,26.96,0,0,0,0.66,7.32,4.27,7.72,0,52.16,1.17,1.86,2.95,682.82,0,19.33,1.53,0,7.48,5.8,0,0,2.31,0,0,30.45,8.15,6.29,0,0,0
120,0,4.33,0,15.1,5.28,2.93,209.76,0,0,41.82,8.92,0,0,0,0,0,1.74,0,0,23.44,3.54,0,1.68,757.91,0,19.57,0,0,2.76,0,0,0,1.74,0,0,3.23,13,1.54,0,0,0
