stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,618.59,11694.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.35,0,0,0,0,0,0,0,0,0,0,0
  5-6,555.02,10523.13,0,21.22,0,0,0,0,0,0,0,0,68.11,0,0,0,0,0,0,0,0,0,0,0,484.34,16.8,0,0,113.52,0,113.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,206.81,254.66,0,494.76,0,6.96,0,575.65,0,0,0,0,278.28,0,0,0,0,0,0,0,0,0,0,0,5967.66,178.01,0,0,2136.49,0,30.34,79.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,240.73,0,506.62,0,80.15,0,504.37,0,0,0,0,78.35,0,0,0,0,0,0,0,0,0,0,0,5035.92,43.11,0,0,1893.73,0,0,27.69,0,285.02,0,17.67,12.34,0,0,0,0,0
 14-21,0,0,0,75.71,573.27,173.12,0,353.61,0,0,58.55,22.4,5.5,1.01,5.96,10.74,8.55,3.47,1.15,0,359.48,0,0,307.45,4456.54,72.91,29.46,58.88,128.96,0,157.81,15.75,602.04,31.46,1.72,452.17,1331.8,0,0,23.7,0,0
 24-34,0,0,0.65,21.03,195.81,62.1,0,849.1,1,0.63,126.2,6.26,1.41,1.77,43.18,5.66,12.63,15.47,11.78,1.82,716.94,1.33,3.71,268.04,6712.9,54.7,49.31,52.57,0,0,294.45,0,3.09,15.48,7.73,45.79,1470.05,0,0,154.88,0,17.17
 36-46,0,0,0,3.14,88.17,33.56,0,1893.63,0,3.4,98.64,4.54,0,23.65,35.94,8.92,17.5,0.87,8.35,7.36,496.98,1.16,13.91,164.79,4527.76,10.91,22.99,32.69,0,0,123.02,0,3.16,7.07,0,0,959.69,0,0,65.91,0,55.66
 48-58,0,0,0,0,104.24,30.25,0,2061.46,0.77,12.06,150.61,4.76,0,8.82,25.2,3.61,19.64,5.63,1.62,5.92,566.69,12.74,24.23,115.62,2070.35,21.81,14.4,18.84,0,0.39,73.3,0,0,1.62,0,0,335.94,0,0,58.32,0,26.72
 60-70,0.81,0,0,0,102.99,2.43,0,1434.86,0,1.18,129.57,12.19,0,1.37,19.08,0,30.28,4.91,6.06,21.68,430.25,4.57,41.86,62.72,1109.29,20.9,4.44,9.57,0,0,33.83,0,0,2.12,0,0,72.94,0,0.63,23.69,0,32.39
 72-82,0,0,0,0,64.72,9.53,2.42,438.43,0,4.75,104.39,15.93,0,11.35,14.69,4.38,16.4,1.9,8.67,0,334.84,1.46,25.41,49.79,608.09,10.82,13.75,13.42,0,1.12,23.06,0,0,2.31,0,0,26.4,3.44,0.5,44.57,0.59,1.59
 84-94,0,0,1.2,1.46,78.15,20.61,0.8,487.59,0.63,4.86,66.39,27.05,0,4.07,24.66,20.91,15.7,1.84,16.54,0.86,313.88,0,37.69,57.72,518.57,9.96,10.88,13.03,0,1.01,28.47,0,0,5.94,0,0,10.68,7.87,1.83,55.74,1.15,0
 96-106,0,0,0.99,0.66,73.62,29.05,1.36,384.96,6.33,0,87.89,31.44,0,8.76,45.45,1.77,6.36,5.32,16.38,0.57,171.77,1.95,9.71,33.04,446.82,6.24,13.01,24.88,0,0,36.45,0.93,0,4.57,0,0,9.67,2.29,2.06,53.62,1.12,0.91
108-118,0,0,0,0,51.79,34.83,2.49,382.93,0.5,0,117.69,20.34,0,2.93,38.75,3.7,11.79,4.89,7.23,9.21,129.5,1.15,14.18,43.5,686.49,5.33,13.57,9.13,0,1.53,17.57,0.79,0,6.09,0,0,8.35,2.72,0,50.17,1.13,5.58
120,0,0,0,1.28,38.31,27.44,0,403.93,0,0,86.43,16.48,0,0,40.72,0,6.22,0,7.36,1.33,146.82,0,8.36,25.4,614.64,2.14,2.34,18.88,0,0,23.07,0,0,0,0,0,2.31,2.24,0,40.44,0,1.1
