stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
 14-21,1.01,47.11,11.58,22.69,0,0,0,5.85,0,1.07,0,0,0,19.32,0,0,14.68,217.16,9.23,0,0.81,5.75,29.01,30.2,1.95,12.35,77.95,0,0.81,0
 24-34,1.17,6.64,2.31,96.7,0,0.82,0.67,7.09,0.92,0,0,0,0,45.48,0.86,0,15.53,802.25,0.84,7.41,5.78,0,8.95,0,0,4.72,173.06,0,5.14,0
 36-46,0,11.88,4.61,186.78,0,0,0.75,11.74,0,0,0,0.57,3.07,34.59,0,2.39,7.29,535.03,1.19,1.97,0,0,7.79,0,2.21,0,109.58,0,1.6,0
 48-58,0,18.32,7.24,317.4,1.43,0,0,22.78,0.39,0,0,1.93,0,47.74,0,1.76,4.3,312.51,0,0.4,0.85,0,3.68,0,0,0,45.64,0,0.61,0
 60-70,0,4.66,0.58,245,0,1.19,0,13.83,0.62,0,0.72,0,0,85.15,0,2.51,1.15,167.5,0,1.22,0,0,1.16,0,0,0,5.25,0,0.89,0
 72-82,0,4.82,0.59,62.02,0,0,0,6.42,0,0,0,0.61,0.88,18.35,0,1.27,3.3,80.81,0,0,0,0,1.26,0,0,0,0.79,0,1.24,0
 84-94,0,6.45,2.15,70.06,0,0,2.54,15.89,3.51,0,1.59,0,2.14,22.83,2.88,3.53,3.79,66.15,1.11,0,0,0,0,0,0,0,1.08,0,2.57,2.19
 96-106,0,2.09,1.17,19.04,0,0,0,5.48,0,1.5,1.89,0,2.36,11.38,0,0,0.83,31.52,0,0.81,1.8,0,0.71,0,0,0,0,0,0.71,0
108-118,0,0.89,1.69,53.38,0,0,0.75,12.12,2.83,0,0,1.57,0.43,11.28,0,0.65,4.04,70.32,0,0.5,0,0,0.52,0,0,0,0,0.51,4.8,0
120,0,3.27,4.47,114.38,4.5,0,0,22.9,0,0,7.12,2.07,0,17.71,0,0,0,163.71,0,0,0,0,0,0,0,0,0,0,0,0
