stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.39,117.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.97,0,0,0,0,0,0
  7-9,9.92,0,4.04,0,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,21.6,0,0,0,4.49,39,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,3.81,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,1.28,0,0,0,0,0.94,0,0,0,2.41,0,1.07,0,0,0,0.86,8.63,0,0,0,5.2,0,0,0,0,0,328.06
 24-34,0,0,0,8.31,0.9,18.54,0,0,0,1.03,0,0,0,0,6.96,0,8.52,2.81,0,3.06,53.24,20.51,0,0.64,0,33.09,0,1.26,8.43,0.85,0,1507.65
 36-46,0,0,0,2.33,0,4.65,0,0,0,2.37,0,0,0,0.77,121.08,0.93,45.39,0.7,0,3.97,73.75,9.76,0,0,0,51.66,0.9,0,11.82,0.56,0,2449.76
 48-58,0,0,0,0.37,0,17.54,0,1.52,0.53,4.2,0,0,0.45,0,243.62,3.29,36.7,7.16,0,2.68,103.14,12.3,0,0,0,23.02,0,0,22.34,2.59,0,3158.8
 60-70,0,0,0,0.62,0,24.4,0.69,0,0.87,1.98,0,1.17,5.12,0.56,566.8,0,2.37,17.5,0,5.05,59.18,0.85,0,0,0,6.31,0,0,13.15,11.42,0,2102.63
 72-82,0,0,0,0,0,23.01,0,1.27,0,0,0,0,0,0,434.94,0,0,4.65,0,1.07,31.21,0.53,0,0,0,3.18,0,0,5.36,8.29,0,1299.63
 84-94,0,0,0,2.32,0,47.81,0,0.58,0,7.55,0,0,0,0,701.84,0,0,6.78,1.98,0,20.57,2.07,2.48,0,0,1.63,0,0,0.98,0,0,1064.66
 96-106,0,0,0,0.72,4.05,29.29,0.64,0,0,1.42,0.64,0,0.69,0,498.79,4.2,0,9.09,0,0,12.5,0.7,0,0,0,2.19,0,0,0,1.53,0.64,910.58
108-118,0,0,0,2.21,0,27.22,0,0.74,0,0,0,0,0.71,0,868.01,5.2,0,12.85,0,0.56,13.82,0.47,0,0,0,0,0,0,8.04,0,0,853.41
120,0,0,0,3.3,2.65,13.66,0,0,0,0,0,0,0,0,496.25,0,0,0,0,0,8.9,1.38,0,1.05,0,0,0,0,0,0,0,243.53
