stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,neural,somites,spinal.cord
  3-4,10.27,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.17,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.02,0
 24-34,0,0,0,0,0,0,0,0,0,2.44,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,15.36,0,4.37
 48-58,0,0,0,0,0,0,0,0,0,13.51,0,1.08
 60-70,0,0,0.76,0,0,0,0,0,0,55.65,0,0
 72-82,0,0,0.53,1.43,0,0,0,0,0.89,57.14,0,0
 84-94,0,2.51,0.71,0,2.12,0,0.96,0,0.6,58.51,0,0
 96-106,0,3.17,6.71,0,0,0,0,0,0,78.96,0,0
108-118,0,1.57,9.98,0,0,2.71,0,0,0,39.81,0,0
120,0,0,0,0,0,6.49,0,0,0,50.93,0,0
