stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.89,34.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,26.58,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,72.81,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.13,1.74,2.52,0,0,0,0,0,0,0,0,0,0,0.86,0,0,7.15,67.78,1.57,0.81,0,0,2.11,0.89,29.3,0,0,0,0,0
 24-34,0,0,1.66,0,0,3.2,0,0,0,1.26,0,0.64,0,0,0,0.67,0,0,2.06,246.3,4.25,1.32,0,3.39,0,0,119.37,0,0,1.01,0,0
 36-46,0,0,0,0,0,25.62,0,0,0,7.1,0,2.61,0,0,9.94,2.91,0.72,0,0.71,630.32,6.67,0,0,36.03,0,0,137.24,0,0,0,0,0
 48-58,0,1.29,0.54,2.45,0,92.75,0,0,0,29.26,0,1.42,0,0.41,9.39,4.52,0,0.43,1.24,860.07,2.26,0,0,0,0,0,174.89,0,0.79,0.38,0,0
 60-70,0,0,0,0,0,232.34,0,0,0,21.26,0,5.94,0,0,0,8.24,0,0,1.49,1126.86,1.51,0,0,0,0,0,140.41,0,0,0,0,11.22
 72-82,0,0,1.29,3.88,4.18,410.91,0,0,1.86,26.94,2.05,2.72,0,0,0,12.14,0,2.69,0.73,1074.44,12.78,1.39,0,0,0,0,72.26,0.81,2.23,0.83,0,8.12
 84-94,0,0,1.15,10.62,0,265.46,0,1.77,0,38.04,0,5.52,0,0,0,11.13,0,1.04,1.33,787.18,3.11,4.12,0,2.43,0,0,54.43,4.72,1.38,2.52,3.01,0
 96-106,0,0,1.14,3.5,0,384.54,0,0,0,40.24,1.12,1.67,0,3.45,3.42,2.98,0,0,0,623.31,9.23,6.76,1.17,9.17,0,0,22.82,1.33,0,2.02,1.48,5.94
108-118,0,0,0.55,3.39,4.17,468.47,0.83,1.6,0.65,44.63,0,7.97,1.39,0,4.87,8.82,0,1.87,0.51,851.57,3.52,1.55,1.02,1.85,0,0,29.24,1.61,0,0.99,2.47,0
120,0,0,0,16.65,5.83,438.37,0,0,0,71.63,0,0,0,0,4.81,28.12,0,19.72,0,1398.37,15.78,1.05,0,3.23,0,0,40.21,0,0,0,0,0
