stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.98,668.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.34,355.92,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.79,7.55,0,0,0,0,3.33,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,52.46,3.49,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,11.22,0,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.15,0,0,403.2,0,0,0,3.53,0,0,0,0,0,36.51,0,0,461.59,14.12,0,0,3.6,108.2,0,0,0,6.05,0,0,0.91,0,3.84,0,50.1,0,0,1.64,0,664.87
 24-34,0,0,1.21,6.9,1.16,0,931.91,0,0,0.69,5.95,0,2.21,0,4.01,0,123.76,0,3.29,1589.21,18.36,0.68,0,5.23,677.91,1.75,49.23,1.09,0,0,13.51,0,0.7,0,9.64,275.01,0,0,7.34,0,1575.65
 36-46,0,0,4.46,5.7,0,0,769.96,0.7,0,0,4.75,0,0,0,2.09,0,161.32,0,13.31,1979.02,22.68,0.6,0,6.53,1318.45,1.04,39.35,0.81,0,0,11.45,0,3.17,0,0,520.46,0,0,1.48,0,1775.51
 48-58,0,0,0.84,2.82,0.52,0,1374.26,0,1.71,2.5,18.32,0,0,0.55,1.1,0,216.93,0,0,1364.06,26.86,0,2.84,6.6,1759.35,3.12,35.45,9.38,0,0,2.73,0,0,0.46,0,397.1,0,0,2.48,0,2077.76
 60-70,0,0,0,16.72,0,0,3352.26,1.72,2.25,0.78,53.42,0,0,2.9,0.98,0,298.56,0,0,669.64,22.87,0.65,0.69,0.58,3492.23,4.3,53.67,1.74,0,0,5.73,0,0,0,0,604.91,0,0,1.32,0,1728.24
 72-82,0,0,0,36.71,4.16,0,4320.23,0,0.68,15.65,201.78,0,0,0,6.19,0,271.77,0,0,463.19,56.06,1.31,3.44,1.17,5382.2,1.43,67.35,4.26,0,0,4.43,3.31,0,0,0,441.41,0,1.48,10.22,1.28,1329.38
 84-94,0,0,3.08,61.58,7.21,0,5373.79,0.68,0,3.89,181.45,0.98,0,0.63,2.03,0,438.68,0,7.92,794.22,47.27,0,3.09,0.6,3777.49,0.62,56.28,12.2,0,0,9.55,0,0.73,0,0,371.24,0,2.81,0.58,3,754.66
 96-106,0,0,3.85,39.99,30.6,2.28,4849.94,4.47,1.39,4.29,394.76,3.65,0,1.68,17.44,2.36,317.77,1.28,20.7,403.14,57.01,0,0,3.48,4564.56,0.58,110.96,21.35,0,3.44,12.74,3.82,0,0.68,0,211.4,2.04,0.57,0,2.48,755.18
108-118,0,0,4.83,57.37,2.62,1.76,4524.37,0.73,0.98,5.78,373.82,1.71,0,0,4.76,1.01,453.24,0.63,1.24,494.54,42.53,0,4.03,6.83,5373.36,0,81.94,23.43,0,8,4.1,0,2.82,0,0,238.39,1.73,2.44,2.59,0.57,625.51
120,0,0,0,84.09,0,13,2965.08,0,3.21,5.24,412.3,7.47,0,0,1.44,0,331.84,0,4.47,191.76,109.55,0,7.65,0,7506.67,0,106.9,20.41,0,5.29,5.85,0,0,0,0,214.35,0,12.35,3.19,0,166.5
