stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,50.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,113.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0
  7-9,6.61,0,0,0,0,0,0,0,0,0,0,0,0,59.84,0,0,5.02,0,0,0,0,0,0,0,0
 10-12,3.69,9.18,0,0,10.9,0,0,0,7.8,0,0,0,0,82.72,11.79,0,32.07,0,0,0,7.71,0,0,0,0
 14-21,0,0,4.18,0.95,0,0,0,0,0,0,1.06,0,0,7.82,1.64,0,0,0,0,0.86,0,1.96,4.82,0,0
 24-34,0,0,1.26,0,1.4,0,0,0.69,0,0,0,0,1.04,26.92,0,0,0,0,0,0,0,1.91,6.3,1.88,0
 36-46,0,0,0,0,5.8,0,1.55,0,0,0,2.29,0,0,25.09,0.55,0,0,0,0.58,0,0,0,11.83,0,0
 48-58,0,0,1.45,0,5.46,0.64,1.85,0,0,0,1.11,0,0,23.51,0,0.61,0,0,0,0,0,0,5.03,0,0
 60-70,0,0,0,0,12.14,0,1.74,0,0,0,3.34,0,0.77,11.98,0,0,0,0,0,0,2.06,0,3.98,0,0
 72-82,0,0,0,0,13.08,0,3.2,0,0,0,5.6,0.79,1.95,26.67,0,0,0,0,2.91,0,0,0,4.77,1.23,0
 84-94,0,0,0,0,5,0,1.07,0.62,2.11,0,13.76,0,1.87,5.64,0,0,0,0,0,0,0,0,4.05,0,3.53
 96-106,0,0,1.6,0,0.83,0,2.77,0,0,0.99,1.8,0,0,20.63,0,0,0,0,0,0,0,0,3.78,4.03,0
108-118,0,0,0,0,0.54,0,5.51,0,0,0,1.66,0,2.44,10.82,0,0,0,0,0,0,0,0,0,0,0
120,0,0,7.02,0,0,0,0,0,0,0,0,0,0,16.75,0,0,0,2.67,0,0,0,0,0,0,0
