stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,168.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,413.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,54.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.58,0,0,0,28.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.68,0,96.77,0,0,0,29.48,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,372.32,36.54,0,0,102.75,0,0,0,0,0,0,4.54,0,0,0,0,0
 14-21,0,2.06,3.68,148.42,5.86,0,16.06,0,1.27,0,1.07,0.81,0,0.81,0,0,0,0,0,0,23.16,0,6.27,611.56,239.94,0.95,0,1.73,0,1.44,2.89,0.95,0,19.43,689.28,0,0,0.97,0,0
 24-34,0,0,0,15.19,0,0,32.12,0,0.6,0,7.57,0,0,0,0,0,0,0,0.69,1.64,6.76,0,5.08,1897.23,9.15,0.78,0,0,0,2.18,0,0.79,0,0,762.09,0,0,2.34,0,0
 36-46,0,0,0,0,0,0,48.22,0,0.69,0,41.25,0,0,0.57,0,0,11.89,0,4.06,0,17.86,0,7.23,2230.01,0,6.35,0.83,0,0,11.62,0,9.88,0,0,798.51,0,0,0.82,0,1.41
 48-58,0,0,0,3.2,0,0,78.44,0,3.75,1.24,100.3,0,0,1.88,1.12,0,0.41,0.44,0,1.66,16.49,3.65,13.16,1550.47,0.89,0,0,0,0,5.1,0,0.93,0.9,0,691.86,0,0.85,0.56,0,5.51
 60-70,0,0,0,0,0,0,29.99,2.07,2.73,0,124.94,0,2,0,0,0,0.89,0,0,6.22,45.45,0.7,0.83,612.71,0.66,1.02,0,0,0,0.68,0,0,0,0,236.37,0,0,0.72,0,0.91
 72-82,0,0,0,0,0,0,43.62,1.16,0,0.87,46.95,1.57,0,0,5.2,0,2.9,0,0,0,80.67,0,1.75,262.43,0,2.23,0,0,0,0,0,0,0,0,47.33,1.01,0.49,1.66,0,0
 84-94,0,1.67,0,0.75,0,0,48,0.79,1.53,0,23.98,0,4.22,0,2.76,0,2.68,0,1.16,0.72,97.58,0,1.84,151.6,0,0,5.54,0,1.68,0,0,0.75,3.45,0,35,0,4.46,0,3.29,0
 96-106,0,0.61,0,3.86,0,1.05,36.36,2.3,4.11,8.48,17.77,0.63,0,2.05,2.48,0,4.08,0,1.94,0.68,79.34,0,1.96,98.3,0,0,0.87,0,0,3.19,0,0.89,0,0,8.47,0,0,1.95,0,2.49
108-118,0,0,0,4.42,5.11,0,37.16,0.9,4.26,5,16.87,0,0,0,0,5.93,9.7,0,1.66,2,53.96,0,1.68,108.53,0.69,0.95,4.84,0,1.22,0,0,0.93,0,0,2.59,0,0,2.56,0,2.97
120,0,0,0,8.43,0,0,59.99,1.14,1,0,28.08,0,0,0,23.42,7.01,4.51,0,0,0,109.3,0,0,147.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
