stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,98.99,1635.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.21,700.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.46,0,24.95,0,0,36.97,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,273.57,11.01,0,0,66.31,0,0,21.53,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.27,0,67.18,0,5.53,35.58,0,0,0,0,0,19.97,0,0,0,0,0,0,0,0,0,0,574.56,6.15,0,0,148.2,0,0,0,0,35.49,0,5.74,0,0,0,0,0,0
 14-21,0,0,1.38,1.56,14.26,3.8,12.98,0,1,0,2.43,0,0,0.81,0,0,0,2.13,0,11.22,0,0,11.51,253.49,6.84,3.52,3.12,0.9,0,0,2.39,12.33,0,0,12.11,30.93,0,0,0,0,0
 24-34,0,0,0,2.78,8.72,0,53.11,0,0,0,1.03,0,0,1.06,0,0,0.66,0,0,16.08,0,0,5.61,350.98,0.64,0.67,2.95,0,0,6.33,0,0,0,0,4.92,52.18,0,0,5.34,0,0
 36-46,0,0,0,0,1.18,0,44.2,0,0,0.57,23.54,0,0,0,0,0,0.65,10.03,0,29.6,0,0,4.78,292.32,0,2.6,0,0,0,2.89,0.81,1.05,1.03,0,0,62.68,0,0,0.77,0,0
 48-58,0,0,0,0.4,3.56,0,69.82,0,0,1.08,18.65,2.96,0,0,0,0,0.47,0.41,0,28.28,0,0.6,5.79,224.52,0,0.58,1.16,0,0,2.15,0,0,0,0,0,37.7,0,0,4.46,0,1.82
 60-70,0,0,0.86,0,2.03,0,136.73,0,0,0,11.79,1.93,0,0,0,0,0,0,0,34.15,0,0,8.5,230.79,0,1.69,3.26,0,0,0,0,0,0,0.86,0,21.16,0,0,7.54,0,10.91
 72-82,0,0,0.61,0,6.77,0,112.46,3.11,0.62,0.68,16.42,1.85,0,0.73,0,0,0.79,0.49,0,31.52,0,1.64,6.02,182.4,0,0,2.39,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0
 84-94,0,0,0.73,0,1.9,0,77.38,0,0,2.07,14.67,1.18,0,0,0,2.05,0.78,0,0.96,28.15,0.58,0,2.73,152.52,0,0,0,0,0,1.25,0,0,0,0,0,12.48,0,0,0,2.74,0
 96-106,0,0,1.28,0,7.02,1.75,93.33,0,0,1.41,11.01,1.85,0,0,2.53,0.74,2.23,2.19,0,21.47,0,0,2.96,96.16,0,0.57,1.51,0,5.15,1.69,0,0,0,0,0,5.13,1.02,0,0,0,0
108-118,0,0,0,0,4.07,1.84,49.28,0,0,0.7,7.29,0,0,0,1.42,0,0.94,1.91,0,36.11,0,1.65,2.54,149.22,0,0.64,1.3,0,0,0.94,0,0,0.42,0,0,6.41,0,2.12,1.03,0,0
120,0,0,0,0,4.37,0,88.35,0,0,2.36,5.23,2.51,0,0,2.69,11.11,0,0,0,21.29,0,0,7.05,185.18,1.32,0,1.51,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0
