stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,71.82,961.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,454.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.97,0,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.81,0,0,0,0,26.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.6,0,0,0,19.16,0,0,5.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.58,0,0,0,0,25.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.91,0,0,0,100.1,0,0,0,0,12.54,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.98,27.96,0,48.75,0,0.82,0,3.19,0.82,5.99,0,0,0.9,0,0,1.02,0,10.99,0,0,11.96,274.48,1.68,0,1.1,1.76,0,1.85,0,40.49,0,26.92,25.55,73.52,0,0,0,0,0
 24-34,0,0,0.68,7.53,16.56,0,58.16,0,0,0,3.08,0,0,1.45,3.95,0.59,0,0.6,0,0,15.01,0.61,0.89,5.65,290.22,0,0,4.55,0,0,4.44,0,2.33,0,38.1,0.84,33.62,0,0,11.08,0,2.38
 36-46,0,0,0,1.81,0.59,0,34.14,1.94,0,0,0.73,0,0,0,6.11,0.58,1.95,0.66,0,0,12.21,1.35,0.56,5.46,102.12,0,0,0.69,0,0,2.03,0,0,0,22.42,0,14.43,0,0,1.04,0,5.96
 48-58,0,0,0,1.17,1.19,0,19.62,0,0,0,4.07,0,0.37,0,0,4.54,1.54,0,4.26,0,8.29,0,0,6.61,49.78,0,1.25,5.01,0,0,0.43,0,0,0,7.4,0,4.36,0,0,1.38,0,5.14
 60-70,0,0,0,0.58,6.28,0,12.53,5.45,0,0,4.26,1.39,0,0,5.18,22.44,0,0,1.92,0,9.74,0,0,11.84,52.47,0.69,0,4.11,0,0,3.45,0,0,0,4.33,0,12.89,0,0,0.68,0,7.98
 72-82,0,0,0,5.13,51.68,0,38.88,3.88,0,2.46,14.61,0,0,0.5,2.83,0.51,0.79,1.5,0,0,23.23,0,0,3.5,93.52,0,0,11.54,0,0.71,5.28,0,0,0,2.57,0,9.04,0,0,6.57,0,6.09
 84-94,0,0,0,8.76,54.48,0,32.58,6.43,0.66,10.89,25.61,1.99,1.87,0,0.58,2.91,1.92,1.05,5.02,3.37,24.45,0.58,3.96,8.72,93.72,1.88,0,10.5,0,0,20.74,0,0,2.61,8.06,0,19.58,0,0,12.6,0,2.99
 96-106,0,0,0,16.41,93.93,0.8,52.61,19.71,0,2.66,76.61,1.76,0,0,2.7,3.93,0,10.56,1.12,1.24,50.89,0.83,1.82,18.35,132.34,0.57,0.57,17.05,0,0,48.54,0,0,0,9.89,0,32.37,0,0,8.58,1.12,31.62
108-118,0,0,0,31.44,56.25,24.72,108.27,24.47,4.49,1.33,102.11,0.96,0,1.33,10.68,2.51,8.76,7.09,8.53,0.55,157.09,1.15,4.54,28.15,326.63,3.45,3.97,25.52,0,2.93,56.63,0,0,0,24.22,0,19.3,0.58,0,15.97,1.25,42.1
120,0,0,0,49.29,36.87,1.61,221.57,24.81,3.03,9.24,154.36,3.18,0,1.85,13,5.57,8.27,8.11,0,0,225.47,0,0,32.78,749.56,9.05,1.11,78.89,0,0,56.26,0,0,0,11.24,0,19.63,0,5.29,40.51,0,9.61
