stage,blastomeres,epidermis,eye,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,otic,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,0,0,0,0,0,0
 14-21,0,0.92,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.87,1.18,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.6,0,3.25,0,0,0.69,0,5.1,0,0,0
 36-46,0,2.33,1.38,0,0,0,0,0,0,0,0.75,0.62,0,0,5.83,0,0.61,0,0,0
 48-58,0,0,0.98,1.34,0,0,0,0,0.53,2.7,0,2.8,0.82,0,2.08,0,1.26,0,0,0
 60-70,0,0.57,0,0,1.71,0,0,0,0,0,0,1.04,0,0,21.54,0,0.84,0,0,0
 72-82,0,0,0,3.02,0,0.54,0,0,0,2.9,0,1.08,0,0,1.25,0,2.5,0,0.79,0
 84-94,0,6.51,0.7,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,2.99
 96-106,0,10.83,0,1.58,5.76,0,0,0,0,0,0,2.26,0,0,0.89,0,0,1.43,3.69,0
108-118,0,19.03,0,0,3.47,0.93,1.25,2.4,0,1.45,0,4.92,0,0,3.6,0,0,0.43,0,0
120,0,17.05,0,0,3.76,0,0,0,0,0,0,0,0,0,17.41,0,0,3.65,0,0
