stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,111.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.43,0,6.23,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.77,0,0,0,31.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.02,7.84,0,0,135.94,0,0,0,19.91,0,0,0,0,0,0,0,0
 14-21,0,1.32,1.28,6.85,7.39,10.33,0,0,0,1.93,1.05,0,0.96,0,0,18.16,23.11,41.39,0,0,34.01,134.25,13.28,0,1.38,6.61,0,0,11.84,0,0.95,13.97,37.73,0,0,10.69,0,2.86
 24-34,0,2.09,0,6.85,3.17,35.34,0,0,2.57,7.32,0,0,6.56,0.6,0.64,4.32,43.35,96,0,0.89,52.44,317.01,0,0.68,0,0,0.99,1.66,1.03,0,1.01,1.35,65.64,0,0,68.98,0,3.41
 36-46,0,1.4,0,1.21,0.6,29.92,0,0,5.93,48.72,0,0,1.42,0,0,2.68,12.42,115.18,0.65,2.67,38.15,295.76,0.57,1.43,0,0,15.85,4.22,0,0,1.23,0,92.58,0,0,43.82,0,16.18
 48-58,0,0,0,2,0,70.24,0,0,7,100.24,0,1.49,2.95,0,2.64,0,12.42,72.3,0,4.57,11.01,157.87,0.56,2.46,0,0,0,0.4,0,0,0,0,109.1,0,0,27.28,0.65,22.89
 60-70,0,0,0,1.42,0,135.62,0,0,0.86,188.64,0,0,7.33,0,0,0,9.97,115.93,0,17.62,16.32,121.98,0,0,1.82,0,0,0,0,0,0,0,58.57,0,2.74,27.12,3.4,21.11
 72-82,0,0,0,3.58,0,130.4,0,0,9.06,200.61,0,0.52,3.5,0,3.18,0.8,0.98,156.59,8.82,17.74,5.29,127.74,0,0,3.24,0,2.65,2.52,0,0,0,0,58.03,1.72,2.68,37.18,6.39,17.9
 84-94,0,4.03,0,2.17,0,77.57,1.34,0,3.38,147.79,0,0,3.62,1.71,4.67,4.06,8.39,99.78,0,4.18,11.48,81.74,0,0.89,0.97,0,0,3.87,0,0,0,0,25.87,5.24,2.67,49.13,2.18,7.71
 96-106,0,0,0,3.59,0,123.81,0,0,7.06,137.89,0,0,0,4.72,5.75,7.86,3.09,120.42,0,12.95,8.6,114.84,0,0,1.74,0,1.61,1.67,0,0.71,0,0,39.91,1.49,2.79,38.94,1.98,12.25
108-118,0,1.51,0,1.07,0,69.59,0,0,4.32,160.48,0,0,2.91,3.38,15.61,6.62,10.63,126.05,0,0.57,9.26,111.65,0,2.92,4.52,0,5.34,3.41,0,0,0,0,20.76,3.01,0.89,72.45,3.62,25.13
120,0,0,0,7.82,0,88.29,0,2.56,0,168.69,1.66,0,0,18.82,18.64,3.92,3.02,154,0,21.4,11.14,169.41,1.1,0,0,0,9.21,0,0,0,0,0,18.71,2.82,0,50.52,3.95,2.34
