stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.27,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,55.26,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,35.7,4.25,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.48,0,28.87,0,95.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.5,4.36,0,0,17.59,0,0,0,256.06,0,0,0,0,0,0,0
 14-21,0,0,3.19,20.01,18.07,571.24,0,5.21,0,0,0,8.49,12.9,0,7.13,1.08,0,0,0,0,0.86,173.62,0,0,147.08,124.16,2.08,5.04,9.2,0.89,0,0,3.35,42.85,2.94,2.88,96.68,0,174.26,0,1
 24-34,0,0.83,12.25,2.03,11.68,45.35,0,12.89,0,0.92,3.69,34.68,0,0,16.85,15.38,0,0,0,0,0,449.86,1.48,0,238.43,511.93,0.97,45.19,11.14,0,0,0,0.93,2.89,3.78,1.58,141.18,0,543.63,0,0
 36-46,0,0,3.82,0,2.91,4.33,0,79.99,0,0,8.58,23.3,0,0,13.5,7.63,0,0,0,0,0,375.16,0,0,152.22,614.37,0.89,30.86,0.77,0,0,8.37,0,0,3.02,0,91.09,0,368.82,0,4.96
 48-58,0,0,2.25,0,18.57,5.64,0,135.28,0.42,0,9.02,26.06,0,0,9.85,19.23,0,4.63,0.74,0,0,419.2,0,2.59,107.31,1031.54,0,21.61,0,0,0,6.97,0,0,11.2,0,87.29,0.4,289.53,0,13.81
 60-70,0,0,2.7,0,3.85,4.48,0,162.54,2.68,3.31,6.83,43.18,3.45,0.97,4.73,21.94,0,0,0.71,0,0,451.95,0,8.43,43.01,1528.05,0,15.47,3.28,0,6.79,6.71,0,0,1.1,0,123.21,9.4,215.48,0,0
 72-82,0,0,4.43,0,14.07,112.92,0,362.24,0.76,0,18.88,91.26,0.74,0.5,12.69,11.59,0,4.86,0,2.13,0,567.05,1.08,33.7,66.48,1750.59,0.53,16,1.27,0,24.77,0.5,0,0,0,0,61.14,37.43,517.59,9.31,23.48
 84-94,0,0,10.11,0,5.63,73.76,0,267.32,1.38,1.88,8.15,72.35,0.57,0,13.9,20.79,0.62,23.81,1.34,0,0,383.94,0,30.98,74.25,1153.09,0,14.18,0.7,0,8.87,0.81,0,0,0,0,87.35,28.26,316.21,7.4,20.53
 96-106,0,0,7.12,0,7.01,132.04,0,285.48,2.72,1,8.98,72.99,1.68,0,10.48,19.45,0,5.01,0,15.28,1.3,346.83,0.81,15.62,56.18,858.25,0,9.57,0,0,31.69,2,0,0,0,0,32.71,16.15,439.15,8.23,0
108-118,0,0,4.98,0,4.09,54.59,1.21,185.63,0.58,0.57,11.46,77.81,0,0,3.61,15.05,0,27.06,0,1.81,1.68,430.42,0,29.75,36.72,959.39,0,8.6,0.42,0,34.02,1.6,0,0.42,1.56,0,18.27,25.52,299.85,5.93,7.22
120,0,0,0,0,38.86,43.94,0,97.9,4.68,0,8.35,88.67,1.74,0,3.08,41.49,0,6.76,0,28.55,0,395.99,0,58.83,45.29,1616.96,3.33,39.05,2.56,0,25.3,5.22,0,0,2.33,0,13.24,25.18,387.16,21.33,0
