stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,3744.2,56272.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294.68,0,0,0,0,0,0,0,0,0,0
  5-6,4355.68,54774.65,0,91.39,0,0,0,0,0,0,0,0,135.1,0,0,0,0,0,0,0,0,0,0,0,1166.41,157.3,0,0,341.57,0,1054.7,0,0,0,0,0,0,0,0,0,0
  7-9,233.98,267.86,0,366.56,0,0,391.33,0,0,0,0,0,131.41,0,0,0,0,0,0,0,0,0,0,0,8552.89,275.64,0,0,2710.84,0,15.59,188.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.83,0,7.16,41.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.56,15.29,0,0,108.29,0,0,86.69,0,10.4,0,0,0,0,0,0,0
 14-21,0,0,0,1.01,14.94,40.6,8.99,0,0,0,0,1.46,0,0,1.36,0,0,0,0,0.85,97.77,1.09,0,78.41,81.64,0.88,1.08,0.81,0,0,67.61,12.99,43.76,0,32.35,114.05,22.27,0,0,0,0
 24-34,0,0,1.05,0,8.99,1.62,10.57,0,1.83,10.93,0,4.26,0,0,1.84,0.79,0,0.97,0,1.94,139.66,0,0,88.31,62.44,3.57,4.71,0,0,0,310.29,2.04,1.02,0,7.35,18.99,34.43,0,5.78,0,12.14
 36-46,0,0,0,0,1.32,0,4.51,0,1.42,67.13,1.85,0.56,0,1.39,2.94,0,0,0,1.07,0,226.75,19.92,0,81.65,71.81,5.29,0,1.46,0,0,350.25,11.98,2.07,0,0,0.83,24.63,0,6.63,0,34.41
 48-58,0,0,0,0,0.39,0.45,39.32,1.37,28,172.06,7.1,0,10.71,0.49,1.05,0,0,0,0,1.17,189.83,0,0.5,50.15,55.57,9.25,0,0,0,0,193.39,1.12,0,0,0,0,22.95,0,0,0,20.35
 60-70,0,0,0,0,2.2,0,78.06,1.7,10.49,182.48,68.21,0,4.76,0,0,0.73,0.64,2.47,0,0,334.2,0,0,31.9,125.78,2.73,1.15,0.62,0,2.07,167.57,2.13,0,1.09,0,0,81.22,6.13,2.54,0,32.89
 72-82,0,0,0,0,3.92,0,178.23,1.33,0,293.05,191.08,0.59,0.59,0,0.53,1.71,0.65,0,0,0,507.57,1.42,0,62.33,136.07,3.9,0,5.83,0,0,181.84,0.85,0,0,0,0,50.8,1.7,1.44,0,53.1
 84-94,0,0,0,0,9.64,6.43,143.64,3.76,19.25,236.08,165.38,0,0,0,0.61,3.42,0,0,0,0.99,473.6,4.14,0,38.17,135.56,10.47,1.16,6,0,1.66,515.37,0,0,0.62,0.61,0,32.27,5.85,1.07,1.34,36.59
 96-106,0,0,0.95,0,36.23,2.21,268.56,0.68,19.3,193.05,295.45,7.2,0,0,3.61,7.3,0,0,0,3.42,701.25,2.2,1.79,40.23,187.6,5.33,3.46,7.17,0,7.4,411.38,3.79,0,0,0,0,33.68,8.46,4.72,3.58,25.19
108-118,0,0,1.11,1.47,37.1,1.32,321.82,0.58,6.26,165.32,348.17,2.97,0,0,5.76,5.14,3.45,0.64,0,1.68,793.96,7.14,3.42,49.59,141.1,7.9,5.75,14.14,0,6.38,387.44,2.7,0,1.11,2.01,0,48.15,3.25,3.35,0,32.95
120,0,0,0,0,32.28,0,545.91,0,7.77,143.18,229.85,8.33,0,0,3.35,5.63,0,2.6,5.66,0,841.55,10.36,0,52.68,172.05,19.47,12.52,12.49,0,0,253.52,1.53,0,0,0,0,40.63,0,1.26,0,2.59
