stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1.82,22.12,4.28,0,2.01,0,0,0,1.1,0,0,2.04,0,0,0,0,0,5.27,0,0,1.07,42.96,8.98,0,0.91,0.95,0,0,4.71,0,5.7,2.7,24.42,0,0,0,0
 24-34,0,12.36,0,0,4.1,0,0,0,2.61,0,0,11.98,0,0,0,11.5,0,15.89,0,0,5.79,141.64,4.46,0,4,0,0,0.85,0,0,0,1.37,28.23,0,0,8.67,0
 36-46,0,35.78,0,0,3.72,0,0,0.82,13.21,0,0,4.24,0,0,0,9.97,0,46.96,0,0,2.47,95.64,2.64,0,1.77,0,0,6.61,0,0,0,0,75.92,0,0,5.13,0
 48-58,0,15.47,1.03,0,28.58,0,0,0.39,26.72,0,1.7,6.58,0.85,0.46,0,10.29,0,126.39,2.73,0.6,5.42,73.24,1.44,0,4.43,0,0.97,3.71,0,0,0,0,133.74,0,2.5,0.61,0
 60-70,0,8.86,0,0,20.54,0,0,0,34.73,0,0,3.38,0,6.61,0,9.08,0,222.66,0,0,4.88,68.96,1.36,0,1.23,0,0,0,0,0,0,0,179.82,0,0,0,0
 72-82,0,17.74,0,0,30.92,3.47,0.56,1.04,47.63,2.46,0,5.41,4.43,13.32,0,30.63,0.79,398.98,0.74,2.27,5.52,106.44,0,1.3,1.74,0,0,2.62,0,0,0,0,129.38,0,2.1,7.34,2.12
 84-94,0,29.82,0,2.25,30.76,1.27,0.59,0,30.84,1.57,0,7.07,0,5.86,0,16.96,1.02,312.45,0,0.83,5.69,64.67,3.35,0,0,0,0,3.66,0,0.92,0,0,57.86,0,5.84,1.26,2.73
 96-106,0,24.13,0,0,26.92,0.95,5.38,1.02,35.12,0,0,0.68,0,4.01,0.66,17.05,0,319.77,0.68,0,7.19,56.93,0,0,1.26,0,0,3.77,0,0,0,0,45.22,0,9.1,3.98,1.84
108-118,0,38.03,0,1.94,24.04,0.89,1.99,0,48.01,1.68,0,1.51,1.34,31.73,1.03,9.22,1.03,384.89,0,0,4.61,132.79,0,0.6,2.11,0,0.86,1.72,0,0,0,0,40.32,0.9,4.48,7.29,0
120,0,22.11,0,0,42.52,4.08,1.2,0,54.59,0,0,20.88,1.5,12.46,0,18.36,0,361.38,0,13.76,0,110.48,5.44,3.09,12.22,0,7.06,0,0,0,0,0,65.1,0,2.41,18.7,0
