stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,35.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,1.8,0,0,0,0,0
 24-34,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,0,0,0,2.81,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,9.96,0,0,0
 48-58,0,0,1.43,0,0,0,0.96,0,0,1.33,0,0,0,0,0,0,0.42,1.5,3.68,0,0,0,0,0,0,0,0,0
 60-70,0.8,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0,2.79,0.96,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.97,0.68,0,56.48,4.76,0,0,0.56,0,0,0,0,0,3.29,0,12.09,0,0,0,0,0,0,0,3.17,0,0
 84-94,0,0,0,0,0,138.74,5.23,0,0,0,0,0,0,2.52,0,0,0,9.85,4.77,0,0,0.91,0,0,3.72,0,0,2.87
 96-106,0,0,0,0,4,350.06,21.14,0,0,0,0,0,0.77,3,0,3.72,0,62.71,1.58,0,1.3,3.44,0,0,0,0,0,0
108-118,0,0,0,3.43,6.55,1787.5,56.9,0.76,0,6.71,4.06,7.06,1.78,5.33,0.47,17.6,0,120.06,0.58,2.13,0,6.81,0,0.46,5.39,1.84,1.2,7.38
120,0,0,0,0,10.93,385.31,25.01,0,1.98,21.15,0,0,2.64,0,0,5.6,0,27.69,0,4.59,0,3.33,0,1.38,0,0,0,0
