stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.67,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,24.76,0,0,0,8.82,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0,11.92,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,10.06,0,0,0,0,0,0,0,5.32,0,0,0,0
 24-34,0,0,1.75,0,0,45.77,0,0,0,1,0,0,0,0,0,0,0,0,0,1.94,55.9,0,0,0,0,2.14,0,0,8.22,0,0,0,0
 36-46,0,0,0,0,0,55.39,0,0,0,6.48,0,0,0,0,0,0,0,0,0,0,145.03,0,0.62,0,0,0,0,0,12.13,0,0,0,0
 48-58,0,0,3.49,0,0,221.45,0,0,0,5.92,0,0,0,0,0,0,0,0.64,0.46,0.79,101.07,0,0.89,0,0,0,0,0,8.79,0,0,2.91,0
 60-70,0,0,0.9,0,0,2222.28,0,0,0,2.16,0,0,0.66,0,0,1.92,0,2.33,0,0,141.75,0,0,7.87,0,0.63,0,0,12.43,0,0,0,0
 72-82,0,0,12.24,6.42,0,4871.22,0,0,0.51,11.32,0,0,0,0,0,0,5.81,14.42,0,1.48,144.44,0,2.88,0,0,2.6,0.97,0,10.04,2.32,0.52,5.01,0
 84-94,0,0.94,26.66,3.26,0,6328.26,0.56,0,0,14.61,0,0,2.23,1.45,2.31,0,0,12.97,1.03,0,66.86,0.62,0,0,0,2.38,0,0,0,0,0,0,0
 96-106,0,0,7.05,9.14,0.98,4484.77,3.27,0,0,10.63,0,0,0.66,6.74,0,0.65,0,20.77,0,0,92.81,0,1.72,3.57,0,1.77,0,2.39,1.86,0,0,6.37,0
108-118,0,0,5.65,11.23,0,4109.96,0,1.17,1.49,20.03,0,0,0,0.57,0,0,1.01,18.58,2.3,0,125.72,0,0,0,0,6.33,0,0,0,0.67,0,6.58,0.97
120,0,0,9.78,0,0,5223.99,0,8.9,0,6.67,1.91,0,0,0,0,3.71,0,0,0,0,228.56,0,0,7.82,0,0,0,0,0,0,0,0,0
