stage,blastomeres,fast.muscle,fin.mesenchyme,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,158.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0.84,0,0,0,0,2.92,0.65
 36-46,0,0,0,0,2.62,3.19,1.09,0,0,0,6.48,0
 48-58,0,0.58,0,0.68,1.72,1.85,3.44,0,0,0,6.28,2.97
 60-70,0,0,0,1.91,2.05,0,1.42,0,0,0,0,0.59
 72-82,0,0,0,0,0.69,2.66,0.74,0,0,0,1.72,0
 84-94,0,0,1.32,0,0,0,0.63,0,0,0.92,1.83,0
 96-106,0,0.71,0,1.1,0,0,1.18,2.01,0,0,1.35,0
108-118,0,0,0,0,0,0,0,0,0,0,0.97,0
120,0,0,0,0,0,0,3.8,0,0,0,5.92,0
