stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1877.6,49838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161.03,0,0,0,0,0,0,0,0,0,0
  5-6,1270.35,18677.02,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,781.43,89.92,0,0,125.85,166.16,0,0,0,0,0,0,0,0,0,0
  7-9,295.23,373.48,0,639.72,0,5.98,1070.43,0,0,0,0,0,309.14,0,0,0,0,0,0,0,0,0,0,0,9608.92,510.6,0,0,3490.76,0,86.65,0,0,0,0,0,0,0,0,0
 10-12,0,273.13,0,530.7,0,54.59,514.68,0,0,0,0,0,36.93,0,0,0,0,0,5.32,0,0,0,0,0,5329.3,175.87,0,0,1935.1,3.1,65.11,3.96,239.39,0,23.05,10.64,0,0,0,0
 14-21,2.31,0,2.15,61.95,525.89,203.87,165.85,0,0,0,17.34,24.37,8.07,14.16,3.25,3.61,0,4.26,4.05,1.48,342.13,0.9,0,241.49,1828.47,105.06,4.84,37.79,148.41,13.29,2.09,701.86,26.3,5.51,274.37,441.53,0,40.96,0,3.56
 24-34,0,0,0,11.3,116.65,73.41,144.06,0,0.75,0.61,23.24,7.28,1.82,0,4.77,3.69,3.83,4.13,13.65,3.39,364.3,0,0,144.7,1322.52,32.4,6.04,13.61,0,5.27,0,2.32,4.4,0,20.3,289.46,0,66.82,0,2
 36-46,0,0,0,1.18,44.09,8.4,41.08,0,0,0.72,10.91,0.85,0,1.41,1.02,1.79,0,1.83,8.02,0,155.82,0,2.44,42.15,359.44,18.73,0,3.86,0,4.89,0,1,0.62,0,0,69.59,0,21.23,0,1.74
 48-58,0,0,0,0.44,22.55,7.54,36.64,0,0.8,1.83,1.72,1.89,0,1.89,2.32,0,1.9,0.92,4.16,0,131.87,0,8.97,14.89,135.84,0,1.9,1.46,0,0,0,0,0,0,0,19.73,0.42,6.32,0,1.68
 60-70,0,0,0,0,22.51,1.24,10.1,0,0,2.64,13.99,0,0,0,0,0,0,0,0,0,78.61,0,8.82,6.01,23.14,4.61,0,1.8,0,4.93,0,0,0,0,0,5.57,0,0.7,0,0
 72-82,0,0,0,0,18.74,0,5.97,0,0,0.5,5.69,0,0,0.51,4.52,2.21,0,0,0.82,0,54.62,0,2.22,3.18,21.52,0,0,1.35,0,0,0,0,0,0,0,3.37,0,1.17,0,0
 84-94,0,0,0,0,9.45,0,7.08,0,0.97,0,0,2.89,0,0,9.69,0,0,0,1.31,0,43.02,0,0.57,4.48,31.13,0,0,2.45,0,0,0,0,0,0,0,0,0,2.43,0,0
 96-106,0,0,0,0,3.42,1.39,7.3,10.06,0,0,5.39,1.23,0,2.6,2.98,0,0,0,5.29,0,19.29,0,0.67,2.72,21.75,0,1.14,3.31,0,0,0,0,1.33,0,0,0,0,3.85,0,0
108-118,0,0,0,0,4.1,3.24,16.88,0,0.44,1.62,5.89,0,0,0,2.55,0,0,1.43,1.59,0,23.48,0,0,3.78,9.96,0,0,2.66,0,0,0,0,0,0,0,0,0,1.82,2.01,0
120,0,0,0,0,3.02,0,9.51,0,0,0,3.69,2.61,0,0,8.96,1.4,0,0,0,0,26.21,0,0,2.04,35.86,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0
