stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.93,6.35,41.67,566.46,9.62,0,778.59,0,7.79,0,1424.19,1.92,4.72,0.89,5.53,4.73,0,11.74,7.08,3.14,78.26,0,0,26.13,37686.8,249.33,358.55,569.42,406.59,0,19.32,0,58.18,5.37,7.65,130.4,19699.88,0,0,19.96,0,0
 24-34,0.88,8.59,7.89,423.5,15.48,0,6468.35,0,8.57,10.41,2642.07,0.69,4.34,4.52,4.43,8.56,0,213.1,46.5,6.3,181.66,11.43,0,106.93,82776.68,26.63,761.4,1168.06,0,0,180.25,0,0.97,12.74,18.11,74.15,28026.52,0,0,104.32,0,27.58
 36-46,0,0.73,0,243.2,4.24,0,19817.66,6.67,6.62,16.97,6306.55,1.76,0,4.2,12.17,3.45,27.59,147.75,29.14,18.83,383.98,3.03,4.59,251.8,93716.6,31.99,394.25,638.87,0,1.69,69.72,0,0,6.06,6.5,10.18,25663.34,0,0,110.54,0,66.67
 48-58,1.94,0,0,146.02,1.17,0,15117.42,9.85,37.07,12.07,10402.41,0,3.66,2.91,10.46,10.97,2.37,148.25,4.66,22.9,509.64,3.04,10.01,429.31,60591.53,1.5,147.9,360.49,0,2.51,52.68,8.83,0,0,5.33,0,18245.68,0,0.42,47.1,0,86.18
 60-70,0,0,0,84.54,6.71,0,5941.97,8.61,15.54,11.4,11861.53,5.15,0,1.29,18.2,6.57,1.52,158.45,14.01,2.64,511.55,4.97,10.26,262.39,28809.39,2.73,43.86,263.62,0,9.65,26.73,0,0,13.05,0,0,9611.23,0,2.16,29.03,2.76,41.95
 72-82,0,0,0,141.35,8.22,0,2461.07,4.58,11.69,15.28,4912.66,2.17,0,1.95,6.88,0,12.24,69.91,11.56,1.95,208.61,0,12.29,68.96,14528.77,1.1,89.02,166.43,0,37.6,20.3,0,0,0.49,0,0,2234.69,3.48,9.66,13.49,3.59,23.83
 84-94,0,4.85,1,97.92,6.9,0,2396.74,1.24,6.95,2.22,4479.47,13.92,0,0,6.69,10.66,11.64,127.18,6.62,0,214.85,0.86,16.74,58.17,12078.74,15.74,45.79,297.7,0,10.09,5.95,0,0,0.73,0.68,0,2002.07,0,5.95,15.54,4.71,0.69
 96-106,0,4.5,0,264.84,27.85,2.53,2433.46,19.39,20.35,6.83,5400.59,11.3,0,2.56,12.13,3.51,3.27,174.54,15.08,0,142.07,0,41.22,45.03,13122.76,24.29,93.2,278.25,0,21.36,21.99,1.14,0,7.52,0.6,0,958.65,3.02,12.49,45.27,13.17,0
108-118,0,0,0,128.95,19.47,5.46,1556.52,0.7,0.47,5.44,7010.05,9.02,0,1.27,17.13,8.6,4.77,122.89,10.65,0.51,229.93,1.71,22.23,43.02,18268.73,3.07,113.97,248.44,0,12.59,16.65,0,0,1.86,0.53,0,562.27,4.8,5.96,27.65,10.53,14.77
120,2.39,0,3.17,218.58,3.27,6.42,2468.31,6.54,2,3.58,8080.55,5.81,0,0,3.93,0,0,17.55,5.21,7.7,155.3,0,2.58,59.12,13540.89,0,69.79,217.8,0,0,12.4,0,0,1.14,1.63,0,414.51,0,7.83,22.88,0,30.78
