stage,epidermis,erythrocytes,eye,fin.epithelia,glial,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,periderm,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.44,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,9.33,0
 36-46,0,0,0,0,0,2.56,0,0,0,0,1.97,84.92,0
 48-58,0.95,0,0,0.66,1.34,0,0,0.74,0,3.05,0,114.95,0
 60-70,0,0,1.88,1.4,0,0,0,0,0,9.92,0,132.74,0
 72-82,0.85,0,0.77,1.31,0,0,0,2.29,0,4.91,0,76.49,2.9
 84-94,6.8,6.94,0,1.27,0,0.61,0,0,0,3.9,0.68,174.19,0
 96-106,14.89,0,0.82,2.19,0,0,2.95,0,0,0.63,0,128.24,0
108-118,11.44,0,0,2.51,0,2.05,0,1.12,1.22,5.61,0,130.51,0
120,22.94,0,0,4.33,0,4.39,0,0,0,22.05,0,153.22,0
