stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,31.25,728.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.33,0,0,0,0,0,0,0
  5-6,23.26,502.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.74,0,0,8.65,30.55,0,0,0,0,0,0,0
  7-9,20.81,22.34,288.86,0,0,65,0,0,0,17.3,0,0,0,0,0,0,0,555.85,23.91,0,361.52,5.27,0,0,0,0,0,0,0
 10-12,0,0,27.92,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,23.42,5.14,0,26.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.89,0,0,0,0,0,0,0,0,0,0,2.14,0,2.15,0,0,0,0,0,1.83,0,8.2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,6.46,0,5.84,1.66,0,0,0,0,0,0,0,0.66,2,0,0
 36-46,0,0,0,1.48,0,0.65,0,0,0,0,0,0,0,0,15.87,0,3.75,8.14,0,0,0,1.06,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,19.82,0,1.7,7.22,0,1.12,0,0,0,0,0,0,0.87,0,0
 60-70,0,0,0,0,0,0.84,0,0.81,0,0,0,0,0,0,30.99,0,0,0,0,6.25,0,0,0,0,0,0,5.17,0,0
 72-82,0,0,0,2.5,0,12.43,0.87,1.32,0,0,0,1.02,0,0,40.41,0,1.14,0,0,4.92,0,0,0,34.87,0,0,0,0,0
 84-94,0,0,0,1.01,0,59.56,0,0,0,0,0,0,1.57,0,24.96,0.72,0.71,1.62,0.62,14.82,0,0,0,12.26,0,0,0,0,0
 96-106,0,0,0,0,0,26.39,0,0,0,0,0,0.93,0,0,26.91,0,1.34,4.03,0,10.54,0,0,0,45.88,0,0,0,0,0
108-118,0,0,0,1.42,0.77,13.98,0,0,0.62,0,0,4.33,0,2.55,53.79,0,1.17,4.58,0,5.51,0,7.14,0,55.56,0,0,0,0,1.05
120,0,0,0,3.04,0,31.65,0,0,0,0,0,9.65,0,0,45.47,0,4.13,1.57,0,6.4,0,0,0,38.32,0,0,0,2.15,0
