stage,epidermis,eye,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,otic,pericytes,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0
 14-21,0,0,0,0,1.71,0,10.37,2.5,0.85,0,1.21,0,0,0,0
 24-34,0,0,0,0,1.85,0,10,0.75,0,7.19,0,1.14,0,0,1.03
 36-46,0,0,0,0,2.7,0,0.67,0,0,4.8,0,0,4.1,0,0
 48-58,0,1.34,2.84,0,1.31,0,0,0.84,0,4.56,0,0,0,1.28,0
 60-70,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0.57
 72-82,1.17,3.1,2.31,0,1.83,0,0,0,0,6.67,0,0,0,0,0
 84-94,0,0,0,1.28,3.68,0,1.86,0,0,1.61,0,0,0,0,0
 96-106,0,0,5.48,0,7.27,0,4.77,3.79,0,1.13,0,0,0,0,0
108-118,0,3.44,0,3.89,2.64,0.94,6.92,0,0,5.91,0,0,0,0,0
120,0,0,0,11.95,0,0,9.34,1.95,0,43.64,0,0,0,0,0
