stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,otic,slow.muscle,spinal.cord,taste,vasculature
  5-6,16.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.41,0,0,0,0,0,0
 14-21,0,0,0,0,0,19.46,0,0,0,0,0,0
 24-34,0,0,0,0,0,9.73,0,0,0,1.57,0,0
 36-46,0,0,2.58,0,0,39.68,1.01,0,0,2.47,0,0
 48-58,0,0,2.01,0,0.52,62.01,0,0.46,0,8.96,0,0
 60-70,0,0,11.21,3.05,0,98.67,0,0.85,0,15.04,0,0
 72-82,0,1.2,17.35,0.73,0.7,50.93,0,0,0,9.78,1.01,0
 84-94,0,8.34,32.14,1.57,0,24.53,0,0.79,0.66,0,0,0
 96-106,0,0,37.25,1.88,0,24.71,0.74,0,0,0,0,0
108-118,0,0,10.15,0,0,28.91,0,0,0,0,0,3.75
120,0,0,0,2.8,0,83.94,0,2.11,0,14.14,0,0
