stage,eye,glial,neural,spinal.cord,vascular.smooth.muscle
 24-34,0,0,2,0,0
 36-46,0,0,0.89,0,0
 48-58,0,0,0.65,0,0
 60-70,0.84,2.94,12.21,0,0
 72-82,4.15,0,14.06,1.36,0
 84-94,7.07,0,0,0,2.41
 96-106,0,0,9.89,0,0
108-118,0,3.68,0,1.82,0
120,11.59,33.5,9.35,0,0
