stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.59,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.39,0,30.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391.41,0,0,0,25.5,0,0,0,7.24,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.32,51.13,5.92,0,18.24,0,0.91,0,25.62,2.22,0,0,0,0,0,0,0,48.03,0,0,36.65,2278.31,2.12,0,2.76,0,0,2.26,9.52,4.52,0,50.99,353.14,0,0,2.86,0,0
 24-34,0,0,2.48,3.24,89.82,2.54,0,29.21,0,1.78,0,79.61,0.73,1.29,5.14,0,2.16,2.1,1.34,0,156.27,0,0.82,51.03,4455.44,1.04,0,28.26,0,0,25.06,0,17.98,1.74,6.99,838.24,0,0,58.28,0,10.7
 36-46,0,0,0,0.78,37.16,0,0,27.58,10.54,0,2.87,291.95,2.83,0.88,0,0.93,1.97,1.3,7.21,6.8,250.31,2.07,4.9,44.66,4164.49,2.53,0,20.77,0,0.97,39.13,0,9.17,0.57,1.09,1127.04,0,0,19.26,0,1.47
 48-58,0,0,0,0.65,60.42,0.53,0,110.31,0.57,2.33,2.77,521.94,1.26,7.59,0,0,0,0.39,11.15,0,338.79,0.7,10,38.61,3157.26,0,0.55,24.71,0,1.63,28.99,0,6.36,0,0,975.03,0,0.64,32.5,0,9.98
 60-70,0,0,0,0,53.21,0,0,272.51,0,1.03,0,545.48,2.08,13.5,0,0,0,0,2.74,0,478.47,1.53,11.16,20.65,2719.72,0,1.19,15.15,0,13.95,5.12,0,2.65,0,0,765.03,0,7.09,21.88,0,12.77
 72-82,0,0,5.38,0.56,61,0.96,0,421.65,0,1.05,11.69,556.38,5.4,14.29,5.05,0,18.19,4.62,1.26,0,605.15,0,38.67,22.44,2636.31,0,3.76,11.16,0,9.11,3.24,0,4.12,0,0,715.54,3.17,8.29,58.19,21.42,23.27
 84-94,0,0,6.74,0,98.11,5.77,0,460.02,0,2.03,6.11,370.91,9.75,0.8,3.85,2.32,0.74,4.67,4.71,0,478.66,4.78,33.15,22.25,1627.6,0,0,7.22,0,1.91,12.92,0,3.43,0,0,355.39,0,20.39,83.19,13.88,7.62
 96-106,0,0,4.9,1.61,54.67,12.04,0,621.8,0.9,1.92,7.14,380.46,10.92,10.9,0,0.68,0,4.66,20.75,0,505.49,0,55.31,12.97,1574.61,0.62,0,20.58,0,32.8,15.68,0,2.82,0.82,0,256.8,1.68,19.86,96.69,10.74,4.02
108-118,3.02,0,2.08,1.14,50.72,1.94,0.55,497.34,1.3,2.05,11.17,396.38,11.56,9.69,0.43,5,0,5.73,4.96,0,543.04,0,49.11,17.66,1733.33,0,0.6,9.54,0,0,15.39,0,3.71,0,0,212.2,0,5.77,67.65,15.56,2.03
120,0,0,0,0,44.71,2.43,0,367.96,1.04,1.16,10.16,532.65,19.79,10.83,7.05,10.17,0,0,5.3,0,533.93,0,52.18,19.97,2382.52,0,0,32.77,0,8.88,19.21,0,1.62,0,0,123.94,0,11.04,59.87,12.37,0
