stage,immune,ionocyte,liver,mesenchyme,neural,spinal.cord
 10-12,0,0,3.73,0,5.2,0
 14-21,0,0,4.29,0,0,0
 24-34,0,0,6.19,0,2.23,0
 48-58,0,0,0,0,0,0.59
 60-70,0,0,10.58,3.35,0,0
 96-106,2.07,0,0,0,0,0
108-118,1.54,0,0,0,1.78,0
120,7.19,5.09,0,0,4.28,0
