stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,ionocyte,lateral.line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,146.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.04,110.11,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0
  7-9,0,0,6.05,0,0,0,0,0,0,0,60.97,5.08,0,0,9.18,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,48.07,0,0,0,0,4.52,0,0,0,0,0
 14-21,0,0,0,0.9,1.02,0,0.86,0,0,0,6.42,0,0,0,3.13,0,0.82,2.07,0,0,0
 24-34,0,0,0,0,0.72,0,0,0,0,0,8.28,0,0,0.62,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.47,1.34,0,0,0,0.63,11.7,0,0,0,0,0,0,3.16,0,0,0
 48-58,0,0,0,0,1.12,1.58,0,0,0,0,1.64,0,0,0,0,0,0,2.2,0,0,0
 60-70,0,0,0,0,1.09,0.85,0,5.4,0,0,3.4,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.78,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.6,2.17
 84-94,0,0,0,0,6.44,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.6,0,0
 96-106,0,0,0,0.95,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,6.06,0,0,0,0.67,0,3.75,0,0,0,0,0,0,3.24,0,0,0
120,0,0,0,0,0,0,0,0,0,12.44,0,0,0,0,0,0,0,0,0,0,0
