stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.79,1062.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.39,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.57,1139.53,0,22.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.43,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.88,63.82,0,77.45,0,0,0,183.9,0,0,0,0,43.14,0,0,0,0,0,0,0,0,0,0,0,1636.2,51.63,0,0,516.05,0,0,26.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,48.29,0,91.25,0,34.51,0,182.08,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0,0,0,1518.81,75.22,0,0,559.56,0,5.07,0,0,92.6,0,0,9.79,0,0,0,0,0
 14-21,0,0,0,4.05,85.72,17.01,0,38.83,0,0,21.69,7.25,0,0,0,8.34,0,0,0,0,53.04,0,0,39.14,719.63,40.9,3.27,4.48,28.41,0,23.17,0,66.87,8.82,0,42.66,225.59,0,0,1.62,0,0
 24-34,0,0,0,1.52,35.57,6.49,0,198.95,1.46,0,28.38,0,0,1.94,10.48,0,4.1,3.43,2.25,0,167.97,0,0.81,71.71,1482.88,10.22,11.15,10.47,0,0,44.74,0,0,2.27,0,3.75,259.94,0,0,38.95,0,2.38
 36-46,0,0,1.72,0,18.52,4.41,0,331.22,0.68,0.8,31.88,0.62,0,2.86,3.88,2.37,0,2.64,2.57,0,107.83,0,2.22,45.05,823.01,8.88,6.4,8.05,0,0,42.63,0,0.86,1.24,0,0,157.45,0,0,24.18,0,4.15
 48-58,0,0,0,0,36.34,1.56,0,392.38,2.33,2.01,17.7,3.93,0,3.27,6.83,7.83,2.08,0.82,0.58,3.75,116.41,2.63,4.91,22.36,416.48,1.77,2.03,8.17,0,0,8.69,0,0,1.52,0,0,47.78,0,0,19.92,0,8.88
 60-70,0.81,0,0.62,0,44.25,0.88,0,231.59,4.92,1.33,54.47,2.76,0,2.07,0.63,0,2.81,5.48,1.41,0,107.19,0,25.21,16.26,267.66,4.18,1.43,0,0,0,25.04,0,0,1.68,0,0,24.69,0,0,15.26,1.54,6.43
 72-82,0,0,0,0,24.96,2.95,0,127.37,0.49,1.17,32.33,1.03,0,3.06,1.81,0,0.93,0,0.88,0,88,0.56,4.35,18.08,194.99,1.41,2.26,5.63,0,0.89,7.88,0,0,0,0,0,4.45,0,1.77,17.31,0,1.89
 84-94,0,0,0,0,22.73,3.65,0,78.2,0,8.39,23.41,9.88,0,0.88,12.56,2.87,13.28,0.81,2.31,0,97.34,1.21,10.11,16.09,141.73,2.46,10.52,5.97,0,0,7.52,0,0,0,0,0,2,0,0,13.91,0,0
 96-106,0,0,0.63,0,24.19,11.14,0,104.4,2.95,8.28,49.89,6,0,1.03,10.09,1.48,0.93,4.59,6.21,0,72.78,2.69,2.4,6.81,153.34,1.43,6.47,9.09,0,0.81,38.84,0,0,8.63,0.8,0,2.35,0,0.92,10.62,1.22,2.61
108-118,0,0,0,0,11.15,6.49,0.47,62.27,1.49,3.06,57.37,4.86,0,0.63,8,0.86,3.4,0.51,1.88,0,70.94,0,0,8.96,200.36,0.56,2.47,1.81,0,1.6,15.05,0,0,0,0,0,4.77,1.62,1.1,15.81,0.74,0
120,0,0,0,0,86.29,43.39,0,109.83,10.57,1.29,128.1,14.36,0,4.49,21.66,4.2,0,2.13,0,6.97,157.98,0,22.04,19.49,417.42,4.8,48.79,16.09,0,0,39.02,0,0,1.42,0,0,12.08,3.76,13.68,36.86,3.93,0
