stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,19.24,323.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.57,0
  5-6,101.55,503.92,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,8.57,15.88,0
  7-9,12.74,0,0,13.78,0,0,13,0,0,3.2,0,0,0,101.63,0,0,30.42,14.92,0
 10-12,0,10.12,0,21.08,0,0,0,0,0,0,0,0,0,91.61,12.14,0,24.44,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0.7,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.45,0,0,0,0,0,2.23,0,0,0,0,0
 48-58,0,0,0,0,0,0.4,6.03,0,0,0,0,0,0,1.38,0,0,0,0,1.2
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.33,0,0,2.36
 72-82,0,0,0.78,0,0,0,2.07,0,0,0,0,0,0,10.85,0,0,0,0.57,0
 84-94,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1.69,0,0,0,0.59,0
 96-106,0,0,0,0,3.25,0,0,0,0,0,0.89,0,0,2.77,0,0,0,0.98,0
108-118,0,0,0,0,0,0,0.49,0,0,0,0,0.84,0,0,0,0,0,0.69,0
120,0,0,0,0,0,0,0,0,7.11,0,0,0,1.41,8.18,0,0,0,0,0
