stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,489.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0
  5-6,8.35,336.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,0,0,0,0,0,0
  7-9,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07,0,0,12.92,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59,0,0,8.61,0,4.94,0,0,0,0,0
 14-21,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.24,1.7,0,0,0,0,0,0.99,0,0,0
 24-34,0,0,0,0,0,40.73,0,0,0,0,0,5.67,0,0,0,49.99,0,0,0,0.83,0,0,0,59.1,0,0
 36-46,0,0,0,1.58,0,32.25,0,9.54,0,0,0,0,0,0,0,145.71,0,0,0,0.79,0,0,0,61.64,0,0
 48-58,0,0,0,6.45,0,24.18,0,0,2.66,0,0,0,0,0,0,76.63,0,0,0,1.11,0,0,0,0.76,0,0
 60-70,0,0,0,24.88,0,155.35,0,0,0,0,1,0,4.62,0,1.29,39.92,0,0,0,0,0,0,0,2.88,0,0
 72-82,0,0,0,60.68,1.61,79.71,0,0,7.21,0,0,0,1.59,0.57,3.46,109.37,0,0.63,0,0,4.96,0,0,0,14.06,0
 84-94,0,0,10.51,110.73,0,85.74,0,0,17.34,0,0,2.92,4.06,0,10.3,130.43,0,0,0,1.91,0,0,0,4.19,15.97,0
 96-106,0,0,12.97,80.25,0,60.85,0.64,6.81,0,0.83,0,1.81,0.79,0,8.58,95.88,0,2.05,0,2.76,58.36,0,0,2.11,13.84,0
108-118,0,0,0,24.82,0,121.35,0,0.53,8.64,1.02,0,0.91,1.47,0,11.09,169.34,0,0,0,4.18,0,1.88,0,3.25,18.03,1.49
120,0,0,0,89.66,0,88.63,0,3.12,0,0,0,0,2.81,0,12.3,215.79,0,9.28,0,1.33,0,0,0,0,10.76,0
