stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,vasculature
  3-4,0,47.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,13.19,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0
  7-9,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.46,0,0,1.09,0,0,0,1.17,0
 24-34,0,0,0.67,0,0,1.05,0,0,0,0.98,0,14.25,0.65,0,0,0.67,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,23.03,0,3.79,0,2.39,0
 48-58,0,0,0,0,4.99,1.97,0,0,0,0,0,23.07,0.47,0,0.46,2.78,0
 60-70,0,0,0,0,3.64,0.83,0,0,0,0,0,7.57,0,0,0,6.13,0
 72-82,0,0,0,0,8.41,1.06,0,0,0,0,0,16.11,0,0,0,5.1,0
 84-94,0,0,0,0,2.79,9.28,0.63,1.95,0,0,1.33,21.43,0,0,0,0,0
 96-106,0,0,0,0,5.5,0,0,0,0,0,1.65,17.56,0,0,0,0,2.63
108-118,0,0,0,2.97,13.99,5.19,0,0,0,0,0,12.17,0,0,0,3.63,0
120,0,0,0,0,22.24,0,1.55,0,0,0,0,10.7,0,0,0,0,0
