stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,83.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.31,0,0,0,0,0,0,0,0,0,0
  5-6,6.12,257.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.75,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,19.47,0,0,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.97,15.62,0,0,40.31,0,8.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.19,0,41.25,0,41.72,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.89,10.74,0,0,81.9,0,0,5.33,0,43.24,3.87,0,0,0,0,0,0
 14-21,0,0,0,0,8.74,31.01,2.29,0,0,0,1.73,1.04,0,0,0,0,0,0,0,15.68,0,0,15.38,12.9,0,1.07,0,9.35,0,11.21,0,7.24,1,13.18,0.89,0,0,16.58,0,0
 24-34,0,0,0,0,6.49,3.52,3.85,0,0,1.96,1.56,0.61,1,0,0.63,0.64,0,0,0,63.82,1.09,0,34.83,71.94,0,1.47,2.9,0,0,10.6,0,0,0,7.59,3.91,0,0,140.82,0,0
 36-46,0,0,0,0,11.36,0.71,2.93,0,0.88,2.96,0.76,0,0.56,0,0,0,2.66,0,0,81.25,4.82,2.04,40.81,77.87,13.1,1.65,23.47,0,0,23.4,0,0,15.81,0,3.26,0,0,77.49,0,1.02
 48-58,0,0,0,0,8.62,12.11,9.65,2.16,0,13.09,30.93,0,6.32,1.02,0,8.93,1.77,0.48,3.29,112.79,0.47,4.93,18.53,105.65,6.89,2.18,2.57,0,0,14.93,0,0,0.53,0,8.23,0,0,100.47,0,2.33
 60-70,0,0,0,0,12.52,0,34.66,0,13.51,1.38,24.79,0,5.94,5.16,0,6.91,1.39,0,0.59,199.85,0,9.66,14.13,116.72,3.76,2.29,6.55,0,0,12,0,0,0,0,5.51,0,6.86,90.09,0,0
 72-82,0,0,0,0,3.74,0,11.69,0,0,3.26,17.53,0,3.6,4.31,4.1,0,0,0,0,173.56,1.98,15.94,7.05,35.39,0,0,4.58,0,4.16,3.06,0,0,0,0,2.21,1.44,6.09,107.14,0,0
 84-94,0,0,3.73,0,4.96,6.1,30.83,0,0.79,5.59,7.8,0,11.7,8.88,0.68,4.79,0,1.12,4.51,172.8,2.53,2.2,8.48,34.37,0,4.09,11.01,0,0,8.99,0,0,0,0,0,0,0.68,93.74,3.99,2.43
 96-106,0,0,0,0,6.48,3.96,15.28,0,0,2.05,0.76,0.64,12.28,4.06,0,0,0,0,0,110.91,1.63,1.42,2.39,35.31,0.6,0.69,4.09,0,4.71,15.93,3.39,0,0,0,0,1.22,2.97,87.17,0.69,0
108-118,0,0,0,0,15.44,8.98,8.1,3.12,3.86,9.67,17.53,0.75,4.36,4.65,4.33,4.41,1.98,7.59,1.85,176.91,0,8.75,11.34,47.7,0,9.07,2.15,0,2.93,8.13,0,0,0,0,0,2.33,0.53,110.23,2.38,1.09
120,0,0,0,0,37.26,11.88,30.84,0,2.41,20.33,39.45,7.48,6.61,5.73,2.78,1.18,0,0,0,291.99,0,33.08,28.71,68.45,0,4.09,32.53,0,4.48,5.45,0,0,2.12,0,0,13.83,25.38,172.07,0,0
