stage,epidermis,eye,glial,gut,mesenchyme,mural.cell,neural,periderm,spinal.cord
 14-21,1.93,0,0,1,0,0,0,0.86,0
 36-46,0,0,0,0,0,0,1.53,0,0.86
 48-58,0,0,0,0,0,0,10.83,2.73,2.33
 60-70,0,0,0,4.44,0,0,3.53,0,0
 72-82,0,2.23,0,0,1.31,0,2.29,0,0
 84-94,0,0,0.58,0,0,5.94,0,0,0
 96-106,0,0,0,0,0,0,2.79,0,0
108-118,0,4.29,0,0,3.98,0,1.69,0,0
