stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.16,587.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0
  5-6,0,124.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82,0,0,0,9.43,0,13.24,0,0,0,0,0,0,0,0,0,0
  7-9,10.48,0,0,5.52,0,0,0,20.17,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,65.5,4.17,0,0,32.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.08,0,0,0,46.22,0,0,0,0,0,18.87,0,0,0,0,0,0,0,0,7.75,269.12,25.1,0,0,49.02,0,0,0,13.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,13.62,8.38,0,3.01,0,0,0,2.92,0,0.91,0,0,0,0,0,0,12.3,0,9.98,72.42,0,0,0.94,1.71,0,0,7.05,0,1.23,6.38,36.44,0,0,0,0,0
 24-34,0,0,1.62,1.65,2.61,0,0,26.83,0,0.59,0.79,1.74,0,0,1.02,0,0,0.72,0,0,20.68,0,11.32,317.23,0,18.89,1.47,0,0,0,0,0,2.45,1.21,100.62,0,0,1.51,0,1.89
 36-46,0,0,0,0,0,0,0,49.58,0,0,1.46,9.52,0,0,0,0,0,0,0.85,2.47,15.51,0,2.87,449.93,0,15.7,0,0,0,2.03,0,0.59,0,0,109.95,0,0,0,0,0
 48-58,0,0,0.98,0,1.34,0,0,149.37,0,0,7.37,24.25,0,0,0,0,0,0,0,7.33,17.01,0.4,2.53,633.99,0,11.13,2.43,0,0.47,0,0,0,0.48,0,103.62,0,0,0.43,0.5,8.8
 60-70,0,0,0,0,1.15,0,0,489.51,1.02,0,0,37.14,0.62,0,1.64,0.84,0,0.72,0,1.22,23.87,0,3.69,673.55,0,14.21,4.56,0,0,0,0,0,0,0,121.06,0,0,0,0,0
 72-82,0,0,1.97,0,3.8,0.62,0,630.02,0.76,0,3.08,31.83,3.66,0,1.49,5.16,0,0.74,0,0.49,66.04,4.41,3.95,815.1,0,13.65,2.66,0,0,0,0,0,0,0,80.6,0.81,0.52,5.14,1.24,8.96
 84-94,0,0,5.29,0,4.16,0.78,0,527.39,0,3.28,7.34,37.94,0.93,0,0,0,1.03,0,0,0.73,57.22,4.19,0,472.52,0,7.6,6.01,0,0,2.09,0,0.73,0,0,51.11,4.12,0,5.99,0.63,0
 96-106,0,0,0,0,9.43,8.34,0,632.37,0,0.57,2.64,51.13,5.58,1.06,3.07,2.36,0.75,0.79,7.89,1.3,48.27,8.38,12.04,409.77,0,18.84,6.19,0,1.47,2.1,0,0.82,0,0,40.78,1.98,1.59,1.79,6.04,11.53
108-118,0,0,0,0,12.69,0,1.82,557,0,0.55,4.57,44.94,1.83,0,1.03,2.85,0.42,1.75,4.46,0,77.27,0,3.73,782.36,0,5.38,11.04,0,2.86,0,0,0,0,0,43.29,6.41,0.88,10.08,2.24,0
120,0,0,0,0,30.38,1.89,0,312.53,0,1.78,1.6,30.12,10.73,0,0,0,0,0,0,0,51.61,10.71,6.71,877.43,0,22.97,1.47,0,0,0,0,0,13.04,0,11.04,5.15,0,5.77,4.69,0
