stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,146.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,22.41,188.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.97,0,0,0,17.01,0,0,0,0,0,0,0,0
 10-12,0,8.6,14.17,0,7.97,12.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.19,3.15,0,0,4.79,0,0,8.87,0,0,0,0,0
 14-21,0,0,0,1.65,147.99,1.98,0,0,0,0,4.58,0.85,0,0,0,0,0,9.24,0,6.82,8.74,0,0,0,0,0,0,0,5.47,5.96,0,55.58,0
 24-34,0,0,0,0,12.51,2.25,0,0,0,0,17.49,0,0.63,0,0,0,0,33.25,0,8.73,30.37,0,0,0.76,0,0,3.09,0,1.51,6.61,0,438.53,0
 36-46,0,0,0,0,0,2.22,0,0,0,0,4.13,0,0,0,1.61,0,0,17.16,0,3.1,27.21,0,0,0,0,0,8.48,0,0,4.62,0,363.6,0
 48-58,0,0,0,0,0,2.97,0,0.42,0.39,0,15.69,0,0,0,0,0,0,7.97,0,0.42,24.04,0,0,0,0,0,0,0,0,3.85,0,295.59,0
 60-70,0,0,0,0,0,6.24,0,0,0,0,19.11,0.63,0,0,0,0,0.71,4.54,0,0,36.93,0,0,0,0,3.15,0,0,0,2.85,1,165.73,2.76
 72-82,0,0,0,0,1.48,0.51,0,0,0,2.21,42.93,0,0,0,0,0,0,3.25,0.57,0,7.22,0,0,0,0,1.06,0,0,0,0,2.47,437.03,0
 84-94,0,0,0,0,0,0.65,0,0,0.86,0,31.17,0,0,0,0,0,0,5.12,0,0,16.44,0,0,0,0,1.49,0,0,0,0.75,0,433.03,0
 96-106,0,0,0,0,10.39,10.16,0,0,0,1.66,31.38,2.41,0,0,0,3.85,7.1,6.44,0,0,54.92,0,0.56,0,0,6.5,1.35,0.6,0,5.05,0,522.46,0
108-118,0,0,0,0,5.15,2.37,0.57,0,0,0,14.72,0,0,0.75,0,3.01,0,3.41,0,0,22.37,2.35,0,0,0,0,0.85,0.86,0,0,2.3,417.73,0
120,0,0,0,0,0,16.91,0,0,0,0,46.65,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,395.74,0
