stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,0,0,0,0,0,0,0
 14-21,0,17.44,2.76,0,5.18,0,0,1.09,2.08,0,0,0,0,0,0,0,4.4,0,0,4.11,32.41,1.96,0,2.11,4.14,0,1.09,0,1.15,14.42,0,0,0,0,0
 24-34,0,11.02,0.66,0,7.66,0,0,5.09,0,0,0,0.63,0,0,0,0.59,11.81,0.81,0,9.98,121.15,3.04,0.61,0.79,0,0,0,0,4.52,23.17,0,0,10.73,0,0
 36-46,0,1.98,0,0,10.32,0,1.47,6.66,0,0,0,0,0,0,0,0,10.21,0.65,0,5.34,80.63,3.79,0.56,0,0,4.06,0,0.58,0,9.57,0,0,14.82,0,0
 48-58,0,0.52,0,0,34.5,1.07,3.41,9.17,0,0.44,4.22,0,0.98,0,0,0,32.13,1.52,0,15.54,83.82,0.66,0.84,0.81,0,2.19,0,0,0,30.06,0,0,4.21,0,0.38
 60-70,0,0.7,0,0,30.01,0,0,9.66,0.69,0,0.65,1.02,0,0,0,0,44.22,0,0,0.87,63.54,0,0,0,0,1.28,0,0,0,7.46,0,0.6,0,0,0.96
 72-82,0,0.52,9.33,0,33.86,0,1.27,5.81,0,0,4.27,0,0,0.67,0,0,26.57,0,0,8.85,39.25,0,0,0.67,0,0,0,0,0,6.63,0.53,0.85,5.43,0,0
 84-94,0,0.84,0,0,34.25,1.77,3.06,11.22,0,0,9.55,0,0,0,0,0,25.51,0,0,0,48.93,0,0,0,0,0,0,0,0,9.3,0,0,8.19,0,0
 96-106,0,0,0,0,11.56,0,0,3.03,0,0,14.06,0,0,0,0,0,16.38,0,0,0,62.6,0,0,0,0,0,0,0,0,0,0,0,9.78,1.35,2.53
108-118,0,1.45,0,3.96,13.04,0,0,5.54,0,0,13.15,0.7,0.82,0,1.1,0,16.02,2.46,0.76,0.87,30.2,0,0,2.19,0,0.63,0,0,0,0,0,0,8.49,0,0
120,0,0,14.25,0,9.55,0,2.83,0,1.31,0,42.36,0,0,0,0,0,3.2,0,0,0,21.54,0,0,0,0,0,0,0,0,0,0,0,11.39,0,0
