stage,blastomeres,endocrine.pancreas,epidermis,eye,gut,immune,mesenchyme,mural.cell,muscle,neural,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0
 14-21,0,3.56,0,0,0,1.38,0,0,0,1.03,0,0,0,0
 24-34,0,0,0,0,0,6.96,0,0,0.88,0,0,0,0,0
 36-46,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,25.3,0,0,0,0,0,1.4,0,0
 60-70,0,10.91,0.97,0,0,1.92,0.77,0,0,0,0,0,0,1.54
 72-82,0,1.71,0,0,9.47,5.65,0.59,0,0,1.98,0,0,0,0
 84-94,0,3.18,0,1.64,0,6.95,0,0,0,6.85,0,0,0,0
 96-106,0,4.51,1.69,0,0,3,2.63,3.68,0,2.41,0,0,1.56,0
108-118,0,3.48,0.5,1.4,1.59,10.44,1.82,0,0,5.12,0.64,0,0,0
120,0,2.59,1.32,15.95,0,23.36,0,0,1.49,0,0,0,0,0
