stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.94,141.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,634.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.13,0,0,0,0,0,0,0,0,0,0
  7-9,12.28,13.96,0,26.21,0,0,0,82.27,0,0,0,0,0,16.03,0,0,0,0,0,0,0,0,0,0,0,527.96,12.78,0,0,147.75,0,0,4.3,0,0,0,0,0,0,0,0,0
 10-12,0,30.37,0,28.8,0,0,0,75.73,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,559.46,44.53,0,0,167.62,0,6.22,4.8,0,55.28,6.84,0,0,0,0,0,0
 14-21,0.89,0,0,3.05,64.03,13.56,0,6.39,0,0,0,6.76,3.14,0,0,0,1.86,0,0,0,0,11.24,0,0,6.42,77.46,3.55,1.69,2.02,0,0,5.92,0,21.53,2.57,14.98,23.66,0,0,2.9,0,0
 24-34,0,0,1.59,1.87,28.6,0,0,15.69,0,4.07,0,5.55,4.13,0,3.44,0,3.65,0,2.64,0,0,36.79,0.84,0,14.31,198.54,1.32,0.85,4.69,0,0,53.02,0,0,3.55,4.54,47.63,0,0,11.05,0,2.88
 36-46,0,0,0,0,22.43,1.54,0,21.67,0,0,1.09,4.41,2.06,0,1.2,0,3.67,5.07,2.12,0,3.95,35.34,0,0.67,22.33,130.77,5.38,3.3,0,0,0,95.97,0,0,3.16,0,15.21,0,0,11.53,0,1.32
 48-58,0,0,0,0,34.97,0,0,23.88,0,3.16,0.41,18.47,0.49,2.79,6.27,4.67,5.7,0.92,1.74,1.04,0.62,51.41,0.37,2,14.89,102.58,2.29,2.29,1.71,0,0.95,55.93,0,0,0.53,0,28.92,0,0,17.24,0,3.69
 60-70,0,0,0,0,37.79,5.12,0,30.6,0,9.01,0.88,27.68,2.02,0,1.63,8.23,0.57,1.79,1.12,3.59,9.05,54.99,0.61,1.38,11.22,75.08,8.53,12.54,2.77,0,0,57.57,0,0,0,0,4.8,0,0,6.04,0.64,13.21
 72-82,0,0,0.69,0,21.68,14.03,0,29.83,0,4.93,3.3,27.04,10.09,0,2.88,9.34,8.67,0.58,5.17,0.82,0,92.77,0.77,6.27,6.79,61.14,0,8.36,7.69,0,0,34.63,0,0,0.6,0,14.85,3.48,0.52,23.18,1.27,14.59
 84-94,0,0,2.83,0,30.6,14.19,0,30.32,0,14.49,3.89,25.91,11.96,0,0.6,25.37,3.55,3.29,0.8,0,2.24,86.71,2.12,3.35,16.76,25.83,7.31,3.61,4.45,0,0,75.38,0,0,2.07,0,9.92,5.86,0,11.64,2.6,13.21
 96-106,0,0,3.23,0,33.82,20.18,1,35.35,1.45,10.29,4.09,27.41,16.6,0,3.19,20.1,4.2,1.87,8.59,4.82,0.69,60.54,3.45,5.3,8.79,58.12,0,4.49,8.47,0,0,81.8,0,0,2.44,0,1.97,2.72,2.78,19.06,3.82,11.22
108-118,0,0,2.86,0,38.92,9.45,0.58,21.21,0,7.85,3.4,54.94,30.15,0,3.23,24.34,1.98,10.24,7.77,1.91,1.47,63.63,7.27,5.08,3.22,59.96,0.67,5.64,8.72,0,2.45,57.56,0,0,1.59,0,4.55,12.49,0.56,20.8,0.61,16.03
120,0,0,0,0,46.38,11.73,0,25.37,0,3.57,1.82,49.1,36.6,0,4.47,25.38,8.19,3.92,6.03,1.42,0,116.48,0,2.18,5.71,75.48,3.25,0,3.96,0,12.2,93.63,0,0,8.06,0,18.55,1.37,12.35,49.7,0,7.88
