stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0
 24-34,0,0,2.92,0,2.46,21.12,0,2.78,0.95,0,0,0,0,0,0,1.84,0.93,0,32.02,35.28,1.42,0,0,0,0,0,21.19,13.41,2.28,0,0,1.2,0,0
 36-46,0,0,2.86,0,0.64,89.56,0,3.86,1.15,0,0,0,0,0,0,39.15,0,0,78.64,13.78,0,0,0,0,7.12,0,42.73,1.7,12.42,0,0,0,0,0
 48-58,0,0,1.57,2.11,5.66,39.81,0,7.62,1.87,0,1.53,0,0.5,0,4.5,117.57,0,0,194.81,46.95,0,0,0,0,0,0,39.13,0,3.21,0,0,0,0,0
 60-70,0,0,0,0,3.64,40.81,3.74,0.89,0,1.9,0,0,0,0,0,436.88,0,0,284.65,13.39,0,0.91,0.81,0,0,0,21.35,0,5.37,0,0,0,0,0
 72-82,0,0,0,0,24.48,16.85,0,4.31,1.56,0.63,1.33,0.84,0.63,0,0,559.36,0,0,407.45,18.88,0,0.67,0,0,3.17,0,4,0,0,0,0,0,0,6.75
 84-94,0,0,0.56,0,29.29,18.21,0.78,3.84,0,1.01,0,0.61,2.45,0,0,665.36,0,0,261.98,18.56,0,0,0,0,1.23,0,15.73,0,5.83,0,0.98,10.3,2.32,0
 96-106,0,0,0,1.3,5.91,28.52,0,0.59,4.34,0,0.71,0,0,5.58,0,604.94,0,0.66,179.34,41.53,0,1.71,0,1.96,4.57,0,9.14,0,0,1.57,0,1.65,0,0
108-118,0,1.46,1.19,0,20.58,22.39,1.69,4,3.56,0,0,2.71,0.41,0,0,564.34,0,0,133.22,40.85,0,1.47,0,0,0,0,8.74,0,0,0,0,0,0,0
120,0,0,5.27,0,12.75,24.2,0,0,7.14,0,0,2.11,0,0,0,530.46,0,0,144.7,38.83,0,0,0,0,0,1.12,5.45,0,0,0,0,0,0,0
