stage,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,spinal.cord,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,28.58,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.17,0,0,0,0,0.9,0,0
 24-34,0,0,0,0.8,0,0,0,0,9.65,0,0,0,1.37,0,0,0
 36-46,0,0,0,0,0,0,0,0,2.22,0,0,0,1.04,1.51,0,0
 48-58,0,0,0.67,0,0,0,0,0,5.02,0,0,0,1.44,0,0,0
 60-70,0,0,0.77,0,0,0,0,0,3.98,0,0,0,1.26,0,0,0
 72-82,0,0,0,0,0,0,0,0,20.18,3.15,0,0,10.06,0,0,0
 84-94,0,0,0,0,0,0,0,0.67,58.69,3.96,0,0,0.57,0,0,0
 96-106,1.35,0,3.55,0,1.31,0,3.28,0,122.73,5.86,1.86,0,22.1,0,0.69,0
108-118,1.48,0,10.16,0.58,0,1.2,0,0,289.48,3.43,0,0.56,24.05,0,0,5.45
120,0,1.71,0,0,0,0,0,0,153.59,0,0,0,23.98,0,0,0
