stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0
  5-6,31.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,25.71,0,0,6.03,0,0,0,0,0,0,0,0,0
 14-21,0,3.04,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,153.71,8.54,3.97,0,0,0,0,0,0,0,1.01,152.95,0,0,0,0,0
 24-34,0,6.92,0,10.39,0,0,14.98,0,0,0,4.16,0,0,0,0,0,0,0,0,0.64,5.92,0,0,3.07,1474.15,1.5,48.02,1.33,0,0,0,0,0,0,0.62,586.53,0,0,9.62,0,0
 36-46,0,1.35,0,3.64,0,0,101.05,0,1.39,0,15.71,0,0,1.84,0,0,0,0,0,0,3.46,0,0,0,3213.31,12.83,43.87,0,0,0,0.59,0,0,0,0,949.9,0,0,0.83,0,3.09
 48-58,0,2.55,0,10.2,2.21,0,400.1,1.48,9.25,1.35,27.07,0,0,0.58,0,0,0,0.95,1.98,0.91,30.23,0,1.25,5.46,5018.35,4.42,24.04,0,0,0,4.75,0,0,0.41,0,798.85,0,0,1.92,0,14.85
 60-70,0,0,0,29.17,2.21,0,2025.18,0,0,1.47,76.62,0.62,0,0,2.99,0,9.62,0.67,0,0,34.28,0,3.13,1.7,7725.5,0.62,17.95,7.75,0,1.13,3.94,0,0,3.49,0,877.28,0,0,0,0,0
 72-82,0,4.8,0,18.72,10.85,0,3309.13,0,0,12.21,111.33,2.53,0,1.41,0,0.73,5.43,0,14.46,0,61.52,0,1.12,3.36,8826.53,0,27.99,0.5,0,2.03,4.51,0,0,0,0,578.42,0,1.32,12.45,1.71,19.21
 84-94,0,12.4,0,52.09,4.63,0,2313.34,0,1.23,1.1,131.1,10.13,2.66,0,1.3,0.68,3.55,0.73,0,0,58.97,0,8.95,6.24,6324.79,1.98,22.99,12.81,0,0,5.52,0,0,0,0,496.17,0.9,3.17,1.74,4.72,0
 96-106,0,4.29,0,38.8,31.43,0,2352.92,2.22,0,0,114.79,5.61,0,0,1.49,2.03,3.3,1.1,10.21,0,74.48,0,12.1,7.2,5895.66,1.62,43.88,5.23,0,0,6.71,0,0,0.76,0,300.73,1.13,1.7,5.25,0,17.35
108-118,0,4.49,0,33.89,16.69,0,2036.13,0,4.02,6.02,110.07,2.09,0,0,4.08,0,7.22,0,4.89,0.7,68.33,0.45,5.07,4.79,5492.57,0,30.95,9.88,0,0.76,9.18,0,1.48,0,0,192.52,8.28,0,6.57,5.25,8.17
120,0,11.61,1.28,40.38,0,13,1867.62,2.29,3.89,0,144.74,7.65,0,1.85,2.3,0,0,0,0,0,99.76,0,8.33,8.67,8749.85,18.05,63.24,23.07,0,3.68,12.71,0,0,0,0,347.35,0,0,20.69,4.07,0
